"1B. FUNDING BY BUREAU — sprint plan (v7.2 2026-06-11, BUREAU-STRATEGY) — batch applications by the personal bureau each lender hard-pulls; sets of 3 per bureau"
"HOW-TO: Work ONE bureau per sprint, in sets of 3 (Set 1 = top 3); FREEZE the other two bureaus during the sprint; open Chex-sensitive deposit accounts BEFORE inquiry-stacking (Chex/EWS cannot be frozen usefully); the NO-PULL lane runs anytime. Color key = README: GREEN favorable / AMBER verify / RED blocker / BLUE = clickable link."
Set,Pick #,Institution,Bureau evidence grade,Limit (stated/est),No-doc,Chex/EWS blocker,Gates (TIB/membership/deposit-first),Apply,Nearest (mi or Online),Next action,Source link
🟦 EXPERIAN — sprint sets of 3 (thaw EX only; +EQ just for the Chase app)
EX Set 1,1,Amex (business) (https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/),"EX ~95%; CA EX 41/TU 2/EQ 1 [CONSUMER-PROXY, corroborated for biz] — SOFT pull if existing Amex member (no inquiry cost)",$6K–$20K; charge NPSL to $250K (myFICO 6507116),"Y — PG, no tax returns",No Chex for card; Amex pulls+reports EWS on its checking only,None — existing-member soft-pull lever (see No-Pull lane),Online,Online (national),Unfreeze EX (skip if existing member = soft); apply Blue Business first,DoC: which bureau Amex pulls (https://www.doctorofcredit.com/credit-bureau-american-express-pull/)
EX Set 1,2,FNBO Business Edition (https://www.fnbo.com/small-business/credit-cards),"EX [BIZ-DP] — business-specific pre-qual ""based on your personal credit Experian file"" (myFICO 6348432)","$50,000 stated MAX; instants $7.1K–$14K",Y — no financials at app (std limits),"Chex/EWS unknown — card-only play, low deposit exposure","None — soft pre-qual FIRST, then hard EX full app",Online,Online (national),Run the soft-pull pre-qual NOW; full app inside the EX sprint,myFICO 6348432 (EX biz pre-qual DP) (https://ficoforums.myfico.com/t5/Credit-Card-Applications/FNBO-CLI-request-instant-hard-pull/td-p/6695146)
EX Set 1,3,Chase Ink (https://creditcards.chase.com/business-credit-cards),"EX dominant in CA (44 of 56 DPs) [CONSUMER-PROXY, large n] — ⚠ recurring DUAL EX+EQ hard pulls on Ink: unfreeze BOTH",$5K–$36K (myFICO 6803261),"Y — PG, no tax returns",No Chex (biz no-pull ×4); pulls+reports EWS incl. balances — stack AFTER PNC deposit,Mind 5/24; unfreeze EX+EQ for this one app,Online,LB 0.44 mi; Fontana 1.18 mi,Apply Ink Cash; request duplicate-inquiry removal if dual-pulled,DoC: which bureau Chase pulls (CA chart) (https://www.doctorofcredit.com/knowledge-base/which-credit-bureau-does-chase-pull/)
EX Set 2,4,Bank of America (https://business.bankofamerica.com/en/credit-cards),EX-primary (82% of 129 DPs; CA EX 15/TU 6/EQ 4) [CONSUMER-PROXY],$8K–$16K typ; to $39.5K instant (myFICO 6510094),"Y — PG, no tax returns",No Chex; pulls+reports EWS incl. balances (deposit side),None,Online,Fontana 1.50 mi; LB 2.11 mi,Apply Business Advantage online,DoC: which bureau BofA pulls (https://www.doctorofcredit.com/credit-bureau-bank-america-pull/)
EX Set 2,5,PNC — standard biz card (https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html),EX-hard on the STANDARD biz card [CONSUMER-PROXY] — split note: BusinessOptions/BLOC = SOFT EQ (see 🟨 EQ Set 1),Std card N/M; soft-EQ BusinessOptions path $25K–$100K (myFICO 6589727),"Y — PG, no tax returns",⚠ EWS-SENSITIVE (in-branch EWS denial DP) — open PNC deposit BEFORE stacking Chase/BofA/Wells EWS inquiries,Deposit-first (EWS): PNC deposit acct in pre-work,Online,Online (CA footprint thin),Prefer the soft-EQ BusinessOptions lane first; EX-hard std card only if needed,myFICO 6675929/6589727 (EX-hard vs soft-EQ split) (https://wallethub.com/answers/cc/what-credit-bureau-does-pnc-bank-pull-from-1000625-2140778226/)
EX Set 2,6,Wells Fargo (business) (https://www.wellsfargo.com/biz/business-credit/credit-cards/),"EX or TU by state; EX most likely CA (EX 9/TU 2/EQ 1, 2014-16 tables) [CONSUMER-PROXY only]",N/M — no biz limit DP; BusinessLine LOC exists,"Y — PG, no tax returns (card)",No Chex; pulls+reports EWS incl. balances,None,Online,Online (branches everywhere),"Confirm bureau at app — if it pulls TU, it spends the wrong sprint",DoC: which bureau Wells Fargo pulls (https://www.doctorofcredit.com/credit-bureau-wells-fargo-pull/)
EX Set 3,7,Premier America CU (https://www.premieramerica.com/business/loans/premier-business-credit-card),EX ×4 (consumer card hard-EX 2022 + priors) [CONSUMER-PROXY],$5K–$50K ($50K needs 2+yr profitable),"Y — PG, no tax returns on app","⚠ Chex INQUIRY-SENSITIVE: denied at 3 inquiries/90d — membership must be opened EARLY, while Chex is clean",Membership-first (Chex-clean window),Online,SoCal branches (Chatsworth HQ),Join in deposit pre-work; card app inside EX sprint,DoC: Chex inquiry-sensitive list (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/)
EX Set 3,8,SDCCU (https://www.sdccu.com/business/business-credit-card/),"EX membership hard pull, REUSED for products (myFICO 6761567) [CONSUMER-PROXY/membership] — one pull covers join+card inside the reuse window",$5K–$20K (myFICO 6761567); 11.74% low APR,Partial — income reviewed,"Chex used/furnished (own FAQ) — clean Chex needed, not inquiry-count sensitive","Membership (CA join, online); reuse window ~30–60d",Online,Online (SD-based),Join + card in the same EX sprint to reuse the single EX pull,myFICO 6761567 (SDCCU EX membership DP) (https://ficoforums.myfico.com/t5/Credit-Cards/San-DIego-County-Credit-Union-SDCCU-Does-anyone-have-any-DP-s-or/td-p/6761567)
EX Set 3,9,Kinecta FCU (https://www.kinecta.org/credit-card/mypro),"EX-only consensus (myFICO 5679332, corroborated 2019-2024) [CONSUMER-PROXY]",N/M — no limit DP; MyPro biz MC 3/2/1% in-house,Partial — financials on request,Chex: pulls + reports (own dispute form) — clean file needed,Membership ($10 savings); by-appointment app,Branch,South Bay (~10 mi LB),Book appointment; ask limit band before the hard pull,myFICO 5679332 (Kinecta EX DP) (https://ficoforums.myfico.com/t5/Credit-Cards/Kinecta-Info/td-p/5679332)
EX CLOCK/GATED,—,Stanford FCU (https://www.sfcu.org/business/business-credit-card),"EX at MEMBERSHIP (hard, reusable ~30–60d); biz-card bureau itself UNKNOWN [CONSUMER-PROXY]",Biz Visa to $50K + unsecured LOC to $100K,"Partial — PFS-based, no tax returns stated (card)",Chex unknown (site 403s),⏱ CLOCK: 6-mo membership seasoning + 2yr TIB before biz card — NOT a Set-1 row,Online,"Online (remote join, Zoom verify)",Start the $5 membership clock NOW (day 0); card app only after the clock runs,sfcu.org biz card disclosure (https://www.sfcu.org/business/business-credit-card)
🟩 TRANSUNION — sprint sets of 3 (thaw TU only; freeze EX+EQ; also freeze SageStream+ARS for U.S. Bank)
TU Set 1,1,BMO (https://www.bmo.com/en-us/main/business-banking/credit-cards/),TU [BIZ-DP — strongest agreement: $7.5K Business Platinum approval TU + FairFigure TU-only listing + TU×2 consumer; mentor AGREES],DPs $1.3K–$7.5K; grows via CLI (myFICO 6773916),Y — no income docs typical,Chex yes (NOT inquiry-sensitive); reports ACH to EWS; biz acct reports to business Chex (separate file),Deposit-first: wants a biz deposit acct before the card; fresh HP per app (no reuse),Online,LB 0.68 mi; Fontana 7.16 mi (RC),Open BMO biz checking in pre-work; card first in TU sprint,FairFigure: biz cards that pull TU (https://fairfigure.com/blog/business-credit-cards-that-pull-transunion)
TU Set 1,2,U.S. Bank (card + Cash Flow Manager) (https://www.usbank.com/business-banking/business-credit-cards.html),"TU [BIZ-DP — Triple Cash TU hard pull ~2026-01, myFICO 6850539]; CFM LOC bureau UNKNOWN (pull confirmed); TU-lean CA",$3K–$10K typ; $20K–$35K strong; CFM LOC <$50K = NO financials,Y — no tax returns (cards/CFM std),"Chex yes (not sensitive); EWS inquiry (""US Bank & Elan"", 2026-05-22 DP)","⚠ Freeze SageStream (LexisNexis) + ARS BEFORE applying (soft-pulled, can deny)",Online,LB 0.80 mi; Fontana 1.40 mi,"Freeze SageStream+ARS; apply Triple Cash, then CFM LOC sidecar on the same file",myFICO 6850539 (Triple Cash TU DP) (https://ficoforums.myfico.com/t5/Business-Credit/US-Bank-Triple-Cash-approved/td-p/6850539)
TU Set 1,3,BCU (Baxter) (https://www.bcu.org/business),TU default; pulls EX ON REQUEST if TU frozen (myFICO 6860252) [CONSUMER-PROXY] — bureau lever,"N/M — biz Visa in-house, no limit DP",Partial — docs unpublished,EWS-CLEAN: no report + no inquiry (DoC 2026-05-22 DP); Chex unknown — verify,Membership; hard pull valid ~30d across products — join + card inside the window,Online,Online (national CU),Join with TU thawed; stack membership + biz Visa inside 30d,DoC EWS list (2026-05-22 comment DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/)
TU Set 2,4,UMB Bank (https://www.umb.com/business-banking/business-credit-cards),"TU [CONSUMER-PROXY — Simply Rewards ""usually TU"", myFICO 6287579; one EQ DP exists — mixed]","No published max, no DPs — ask RM for limit band","Y — questionnaire-style, no tax returns stated",Chex/EWS unknown,"None — direct online app (dao.umb.com/sbla, 15–20 min)",Online,Online,Apply online or phone-ask the limit band first,myFICO 6804033 (UMB quirks/DPs) (https://ficoforums.myfico.com/t5/Credit-Cards/UMB-Bank-Approval-Criteria-Quirks/td-p/6804033)
TU Set 2,5,Skyla CU (https://www.skylacu.com/business),"TU moderate confidence (unfreeze-TU instruction, myFICO 6822661) [CONSUMER-PROXY]; SuperMoney TU-only claim unverified",N/M — no limit DP,N — document-heavy underwriting,"EWS-CLEAN (no report, no inquiry, 2026-05-22 DP); ⚠ 2025 BBB complaints: hard pulls on deposit accounts","Membership (NC-based, opens nationally); prep PFS/docs first",Online,Online,Verify TU + doc list by phone before app; doc-heavy = slow row,DoC EWS list (2026-05-22 comment DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/)
TU CLOCK/GATED,—,LAFCU (https://www.lafcu.org/loans-credit/business-loans),TU proxies only (~2010 rep statement + Dovly-TU tie-in) [MENTOR-ONLY/partial proxy]; biz-card bureau unknown,"Up to $50,000 advertised MAX",Partial — income docs N/M,⚠ Chex used — own site verbatim (BLOCKER) + membership Chex+HP warning,⏱ CLOCK: 2-yr TIB gate + clean Chex + low inquiries — NOT a Set-1 row,Online,LA County (~20 mi LB),Revisit at 2yr TIB with clean Chex; pull-test or ask bureau then,myFICO 838290 (~2010 TU proxy) (https://ficoforums.myfico.com/t5/Credit-Cards/LAFCU/td-p/838290)
"🟨 EQUIFAX — honest scarcity: only ~1 real set exists; the EQ ""sprint"" is mostly SOFT or branch-gated (thaw EQ only)"
