Institution,Accessible_from_Oakland,EQ_evidence,Hard_or_soft,Biz_card_product,Evidence_grade,DP_date,Source_link,Notes
Capital One (Spark),online-national,dual-incl-EQ,HARD,"Spark Cash Plus / Spark Cash Select / Spark Miles",STRONG-MULTI-DP,2023-04-05,https://ficoforums.myfico.com/t5/Business-Credit/Capital-One-Spark-which-credit-bureau-is-used/td-p/6659705,"STRONGEST GUARANTEED-EQ LEAD. Cap One does a TRIPLE PULL (EQ+EX+TU) on every application incl. Spark business cards. Multiple myFICO mentors confirm: 'triple pull from Cap1 for any card approval'; one DP 'Approved... pulled TU and EX... they got EQ as well'. EQ is ALWAYS one of the three. Online app from CA, no banking relationship needed. Downside: hits all 3 bureaus, not EQ-only. DoC master list corroborates 'pulls from all three'."
GM Business Card (Marcus / Goldman Sachs),online-national (availability shrinking),primary-EQ,HARD,GM Business Card (Mastercard),STRONG-DP,2024-12-18,https://ficoforums.myfico.com/t5/Business-Credit/GM-Business-by-Marcus/td-p/6802037 | https://ficoforums.myfico.com/t5/Credit-in-the-News/Marcus-Goldman-will-offload-GM-CC-s/td-p/6720020,"STRONG primary-EQ business DP: '$10,500 approved... Pulled EQ (They state this in several places on their website)' 2024-12-18. Issuer-disclosed EQ. Soft-pull prequal that converts to HARD EQ on acceptance. CAVEAT: Goldman is offloading the GM card portfolio (myFICO 6720020); new-approval volume thinning ('Not too many of these lately' Jan 2025) - verify still open before applying. National online; accessible from Oakland."
Wells Fargo (Signify Business Cash),"branch + online-national (Oakland branches; 60-day checking req aids approval)",primary-EQ (CALIFORNIA-specific),HARD,Signify Business Cash Card,STRONG-DP (single CA DP),2024-06-07,https://ficoforums.myfico.com/t5/Business-Credit/Wells-Fargo-Business-Signify-Approval/td-p/6766003,"VERIFIED CA EQ DP: 'FICO 8 EQ (I live in California) Score at time of application - 740' 2024-06-07. NOTE: WF's NATIONAL default for business is Experian (a separate thread literally says 'WF will pull your personal EX'); the EQ pull is a CALIFORNIA-specific behavior. So for an Oakland applicant, EQ is the documented CA outcome but not guaranteed (EX/TU possible). WalletHub also lists Signify among EQ-possible biz cards. Oakland branches exist."
Elan-rail Oakland banks (East West, Cathay, Poppy, Mechanics, Metropolitan, Bank of Marin, First Foundation, Heritage/Citizens Business, EverBank, F&M Central CA, etc.),"branch (multiple Oakland/East Bay); some online",EQ-possible-rotation,HARD,"Elan business Visa/Mastercard suite (Cash Preferred / Real Rewards / Smart Business)",RAIL-DP (EQ rotation proven),2020-10 to 2021-02,https://ficoforums.myfico.com/t5/Business-Credit/Elan-Financial-Credit-Pulls/td-p/6244031 | https://ficoforums.myfico.com/t5/Business-Credit/Elan-Business-Cards-Credit-Bureau-Pull/td-p/6666184,"EQ ROTATION PROVEN on Elan rail: Banc of California (Elan agent) DP - 1st app (Oct 2020) = EQUIFAX pull; 2nd app (Feb 2021) = Experian. Confirms Elan DOES pull EQ for some apps. BUT TransUnion is most-cited Elan bureau; EQ is a minority outcome that varies by partner/geo/app. Inquiry shows as 'Elan Financial Services'. Probability of EQ on any single Oakland Elan app: LOW-to-MODERATE (~20-30% range, not guaranteed). Many Oakland-accessible Elan agents exist (branch network)."
US Bank (Business cards, incl. via Elan/Metropolitan storefronts),online-national + branch,EQ-possible-rotation,HARD,"US Bank Business Triple Cash / Leverage / Business Platinum",AGG-DP (89 DPs),2014-2024,https://www.doctorofcredit.com/credit-bureau-u-s-bank-pull/,"DoC aggregate of 89 DPs: TU 51.7% / EX 24.7% / EQ 23.6%. So ~1-in-4 chance of EQ nationally. CA-specific subset is small and TU-skewed (EX:5 EQ:1 TU:9) - so in CALIFORNIA, EQ is the LEAST likely (~6% of CA DPs). US Bank = sibling of Elan. Honest read: EQ possible but TU-dominant, and CA tilts further from EQ."
First Citizens Bank (NC; FCNB),"online-national + limited branch",dual-incl-EQ (EX visible),HARD,First Citizens Low Interest / Rewards business card,MODERATE-DP,2023-08-23,https://ficoforums.myfico.com/t5/Business-Credit/20k-First-Citizens-Low-Interest-Business-CC-approval/td-p/6704468,"DP: '$20k approved... they pulled Experian on the business side, though they said they would pull all three on personal and business'. So tri-bureau blend CLAIMED (would include EQ) but the only VISIBLE hard pull confirmed was EXPERIAN. EQ leg unverified. NAME-TWIN WARNING: First Citizens Bank (NC, FCNB.com) is DISTINCT from Citizens Bank (RI, citizensbank.com) - search engines conflate them. Treat EQ as possible-but-unconfirmed."
Chase (Ink business),"branch + online-national (Oakland Chase branches)",EQ-possible-rotation,HARD,"Ink Business Cash / Unlimited / Preferred",WEAK-AGG (no primary CA EQ DP found),2024-2025,https://wallethub.com/answers/cc/business-credit-cards-that-use-equifax-2140760185/ | https://www.thecreditpeople.com/bureaus/what-credit-bureau-does-chase-use-for-credit-cards,"Chase business pulls vary BY STATE (DoC: 'Depends on your state'). EX is most common; EQ and TU both occur. WalletHub lists Ink Business Cash among EQ-possible cards. The prior-project 'dual EX+EQ' claim (myFICO 5773153) could NOT be re-verified in this pass - no primary CA EQ Ink DP located. Treat EQ as possible-rotation, not documented for CA. DOWNGRADED from prior lead status pending a real DP."
American Express (Business),online-national,NOT-EQ (EX ~90%),HARD,"Business Gold / Business Platinum / Blue Business Cash",AGG-DP,2023-2025,https://www.doctorofcredit.com/credit-bureaus/which-credit-bureau-does-each-card-issuer-pull/ | https://ficoforums.myfico.com/t5/Business-Credit/AMEX-business-card-hard-or-soft-pull/td-p/6660610,"DoC: Amex pulls EXPERIAN ~90% of the time; occasionally TU. EQ is rare-to-nonexistent as the hard-pull bureau despite SEO sites claiming otherwise. Existing-customer biz apps often SOFT-pull. NOT a reliable EQ lead. Listed to correct the record."
Bank of America (Business Advantage),"branch + online-national (Oakland BofA branches)",EQ-possible-rotation (EX/TU dominant in CA),HARD,"Business Advantage Unlimited Cash / Customized Cash / Travel Rewards",WEAK-AGG,2023-2025,https://wallethub.com/answers/cc/what-credit-bureau-does-bank-of-america-unlimited-cash-rewards-business-card-use-1000625-2140874630/,"BofA business normally EX, often TU; in CA may default to TU. EQ 'sometimes' per anecdote (WalletHub lists Business Advantage Unlimited among EQ-possible) but no primary CA EQ DP found. EQ is a low-probability outcome here, lower in CA."
Citi (CitiBusiness),online-national,EQ-possible-rotation,HARD,CitiBusiness / AAdvantage Platinum Select,COMMUNITY-DP,2024-2025,https://ficoforums.myfico.com/t5/Business-Credit/Favorite-CC-that-pull-from-Equifax/td-p/6728161 | https://www.doctorofcredit.com/credit-bureaus/which-credit-bureau-does-each-card-issuer-pull/,"DoC: Citi 'normally Experian or Equifax'. myFICO: 'Citi mostly pulls EQ' (but regional - one user got neither). Reasonable EQ-possible lead but highly regional; no Oakland/CA-specific biz DP confirmed. CitiBusiness card menu is thin (mostly AAdvantage)."
