Credit_Union,Charter#,HQ,Assets,SoCal_join_path(VERIFIED how / NO),Biz_card_or_LOC,Products,Underwriter(+evidence),Est_limit(+evidence),Doc_requirements,TIB_gate,Apply,Chex_EWS_note,Tier_hint(Diamond/Platinum/Gold/reference/skip),Confidence,DP_dates,Source_links
"Ventura County CU (VCCU)","n/f (state charter, NCUA-insured)","Ventura, CA","$1.47B (per NCUA census)","NO — FOM = live/work/school Ventura or Santa Barbara County only (VERIFIED vccuonline.net/Business 2026-06-10); no association/anyone path found","YES both — Business Mastercard + Business LOC","Business Mastercard (employee cards), Business LOC (revolving; draw via debit/online), Business term loans, CRE, SBA, business checking/MMA","Self (INFERRED — own 'Business Credit Cards from Mastercard' on vccuonline.net; no Elan/TCM/FNBO branding anywhere; agreement not published online)","UNKNOWN — no published limits; commercial loans via lending specialists","UNKNOWN — commercial side is relationship-based ('contact Commercial Lending Specialists'); no online published doc list","UNKNOWN — not published","Branch/phone (805.477.4000) via Commercial Lending Specialists; no online biz-card app found","n/f","reference — real biz card+LOC but un-joinable from Fontana/Long Beach","VERIFIED products + FOM; INFERRED self-UW. 2026-06-10","—","https://www.vccuonline.net/Business; https://www.vccuonline.net/Business/Commercial-Loans; https://www.vccuonline.net/Business/Business-Accounts"
"OceanAir FCU (ex-CBC FCU)","5110 (INFERRED — Google Play app id 'cbcfederalcreditunion5110')","Oxnard, CA","$871M (per NCUA census)","LIKELY YES — own join page: 'If you're reading this, you can become an OceanAir member!' (VERIFIED oceanair.org/join 2026-06-10); nationwide via American Consumer Council per creditunionmatch/cuselect (secondary, INFERRED); online app live","NO card / NO LOC — business checking + CRE loans only","Epic Business Checking, Commercial Real Estate loans, MONA payment processing; business 'loans' limited to CRE; no biz credit card or LOC found on site","n/a (no biz card)","n/a","CRE via contact form / named commercial lenders (Greenberg/Wong)","UNKNOWN","Membership: online (oceanairfcu.myori.com). CRE: contact form/phone","Join page lists only ID/SSN/DOB requirements; no Chex statement (UNKNOWN)","skip for biz credit — joinable but no biz card/LOC","VERIFIED no-card; INFERRED ACC join path. 2026-06-10","—","https://oceanair.org/join/; https://oceanair.org/business-overview/; https://creditunionmatch.com/credit-union/cbc-federal-credit-union; https://www.cuselect.com/credit-unions/oceanair-federal-credit-union/"
"MyPoint CU","n/f","San Diego, CA","$701M (per NCUA census)","NO for Fontana 92335 (San Bernardino Co) & Long Beach 90802 (LA Co) — FOM = live/work/worship San Diego OR Riverside County (VERIFIED mypointcu.com 2026-06-10). Conditional: work nexus in Riverside Co would qualify","YES card — 'MyPoint Business Visa' (flexible limits, no AF); LOC not explicitly shown; business loans for working capital exist","MyPoint Business Visa, Business Loans (working capital/hiring/refi), Commercial RE (SD/Riverside Co property only), business checking/savings, Autobooks","Self (INFERRED for biz — consumer Visa agreement creditor line = 'MyPoint Credit Union', VERIFIED 2026-06-10; no Elan/TCM/FNBO/PSCU anywhere; biz agreement not posted)","UNKNOWN — 'flexible credit limits' only","UNKNOWN — not published; biz lending via businesslending@mypointcu.com","UNKNOWN","Email businesslending@mypointcu.com / 1-888-495-3400 / appointment; biz accounts by appointment","UNKNOWN","reference — decent self-issued biz Visa but FOM blocks both addresses","VERIFIED card exists + FOM; INFERRED self-UW. 2026-06-10","—","https://www.mypointcu.com/borrow/business/business-loans; https://www.mypointcu.com/bank/business/business-solutions; https://www.mypointcu.com/consumer-credit-card-agreement-and-disclosure; https://www.mypointcu.com/borrow/business/commercial-real-estate"
"Wheelhouse CU","n/f (state charter, DFPI)","San Diego, CA","$457M (per NCUA census)","YES — join from anywhere via community affiliations: San Diego Zoo Wildlife Alliance, San Diego Automotive Museum, or Arbor Day Foundation (VERIFIED wheelhousecu.com/join 2026-06-10); Arbor Day ~$10","NO — no business products visible on site (2026-06-10)","Personal only on site: checking/savings, personal Visa Rewards, auto/solar/RV. Was PPP lender (chamber listing); chamber blurb claims 'business loans' but site nav has none — likely wound down","n/a","n/a","n/a","n/a","n/a (personal join online)","UNKNOWN","skip — trivially joinable from SoCal but no biz card/LOC offered","VERIFIED join path; VERIFIED no biz products on site. 2026-06-10","—","https://www.wheelhousecu.com/join/; https://www.wheelhousecu.com/; https://chamber.sdbusinesschamber.com/list/member/wheelhouse-credit-union-22656"
"Cabrillo CU","n/f (state charter, DFPI)","San Diego, CA","$572M (per NCUA census)","NO — FOM = live/work San Diego County; + Fraternal Order of Retired Border Patrol Officers / federal employees / Sharp Healthcare / City of Carlsbad SEGs (VERIFIED via search of cabrillocu.com pages 2026-06-10)","NO — consumer products only (checking, personal credit cards, personal loans, HELOC)","Personal only; no business banking section found","n/a","n/a","n/a","n/a","n/a","UNKNOWN","skip — confirmed no biz line, not joinable from target addresses","VERIFIED (cheap confirm). 2026-06-10","—","https://www.cabrillocu.com/About-Us/Become-a-Member; https://www.cabrillocu.com/"
"San Diego Firefighters FCU","n/f","San Diego, CA","$152M (per NCUA census)","NO — FOM = compensated firefighters/fire-dept personnel permanently assigned within San Diego County only (VERIFIED sdffcu.org/membership via search 2026-06-10)","NO — personal products only (Visa, personal LOC, auto/home)","Personal savings/checking/certificates, personal Visa, personal line of credit; no business services","n/a","n/a","n/a","n/a","n/a ($25 savings opens membership — if eligible)","UNKNOWN","skip — FOM-gated occupational CU, no biz products","VERIFIED. 2026-06-10","—","https://www.sdffcu.org/membership; https://www.sdffcu.org/member-services"
"Educational Employees CU (Fresno) — ⚠ myeecu.org NOT eecu.org (Fort Worth TX)","n/f (state charter, DFPI)","Fresno, CA","$5.4B (per ibanknet; site says $4.6B+)","NO — FOM = Fresno/Madera/Tulare/Kings + surrounding central-valley counties (VERIFIED myeecu.org via search 2026-06-10); no association path found","Business accounts exist ('visit to open a business account'); biz credit card NOT found","Checking/savings, consumer loans, consumer credit cards, business accounts (in-branch)","n/a (no biz card found)","n/a","UNKNOWN — business accounts opened in branch","UNKNOWN","In branch","UNKNOWN","reference — big but consumer-centric, un-joinable from SoCal","VERIFIED FOM; card absence INFERRED (not on site). 2026-06-10","—","https://www.myeecu.org/about/about-us/become-a-member; https://www.myeecu.org/home/home"
"Stanford FCU","13392 (VERIFIED via ncuso.org URL)","Palo Alto, CA","$4.8B","YES — FOPAL (Friends of Palo Alto Library) or MOAH (Museum of American Heritage) membership qualifies anyone; any CA resident joins free — SFCU pays the nonprofit dues (VERIFIED DoC + maximizingmoney 2026-06-10); online join at sfcu.org/join; identity verify via Virtual Branch Zoom","YES BOTH — Business Rewards Visa (to $50K) + unsecured Business LOC (to $100K)","Business Rewards Visa (1pt/$1, 2pts dining/delivery, no AF/BT/CA/FTX fees, APR 16.00-17.99% variable), Business LOC up to $100K unsecured (more w/ collateral), equipment/term loans, SBA 504, business checking/savings high-yield","Self (VERIFIED — sfcu.org hosts own 'Business Visa Application and Solicitation Disclosure'; card branded/serviced by Stanford FCU; no Elan/TCM/FNBO)","Biz Visa max $50K (VERIFIED sfcu.org/business/business-credit-card via search snapshot 2026-06-10); Biz LOC $100K unsecured (VERIFIED sfcu.org/business-banking/loans snippet); personal-card DP: $7.5K approved @672 EX mid-score (myFICO #6803-era thread #6036159)","Business Loan Application + Personal Financial Statement to start (VERIFIED snippet); min 640 FICO; tax returns not mentioned for card (UNKNOWN — LOC likely fuller doc); PG implied via PFS","2 years in business + 6 months SFCU membership seasoning before biz-card eligible (VERIFIED, both quoted from sfcu.org 2026-06-10)","Membership online (sfcu.org/join); biz banking via Virtual Branch (Zoom) or branch; biz card via Business Loan Application (form, not instant online)","UNKNOWN — DoC notes checking-bonus DPs but pull type unconfirmed; sfcu.org blocks scrapers (403) so agreement text unverified page-direct","Platinum — best self-issued $50K biz card + $100K LOC reachable from SoCal; gates (6-mo seasoning, 2-yr TIB, full app) keep it off Diamond; START MEMBERSHIP CLOCK NOW","HIGH on product/limits/gates (multi-snippet VERIFIED); MED on remote biz-account opening (INFERRED via Virtual Branch). 2026-06-10","myFICO #6036159 (personal $7.5K approval DP)","https://www.sfcu.org/business/business-credit-card; https://www.sfcu.org/business-banking/business-visa-application-and-solicitation-disclosure/; https://www.sfcu.org/business-banking/loans/; https://www.sfcu.org/join-us/; https://www.doctorofcredit.com/ca-only-stanford-federal-credit-union-100-checking-bonus/; https://www.maximizingmoney.com/banking-bonuses/stanford-federal-credit-union/; https://ficoforums.myfico.com/t5/Credit-Card-Approvals/Stanford-FCU-not-the-best-credit-Approved-7500-DP-INSIDE/td-p/6036159"
"Valley Strong CU","n/f (state charter, DFPI)","Bakersfield, CA","$4.1B","YES — Financial Fitness Association join path: 'All members of the FFA are eligible'; Valley Strong opens your FFA membership and covers first-year fee ($8/yr after) (VERIFIED via membership-page text in search 2026-06-10); county FOM (Fresno/Kern/Kings/Madera/Mariposa/Merced/Solano/San Joaquin/SLO/Stanislaus/Tulare) does NOT cover SB/LA counties","YES card ×2 — Business Platinum ('high spending limits') + Business Rewards (1% cash back); LOC not confirmed","Business Platinum CC, Business Rewards CC (no AF, employee cards), Business Share Savings ($5 open; $250 biz bonus DP), business banking","Self (INFERRED-strong — CFPB agreement DB lists 'Valley Strong Credit Union' as issuer of its own Visa agreements; no Elan/TCM/FNBO references)","UNKNOWN $ — 'high spending limits' marketing only; no public DP found","UNKNOWN — site 403s scrapers; not published in search layer","UNKNOWN","Online membership ($5 share or Business Share Savings); card app via site/branch","UNKNOWN","Gold candidate — self-issued biz cards + genuinely open membership from Fontana/Long Beach; needs phone screen for limits/docs","VERIFIED join path + card lineup; INFERRED self-UW; UNKNOWN limits. 2026-06-10","maximizingmoney: $50 share + $250 business savings bonus (page live 2026-06-10)","https://www.valleystrong.com/business-platinum-credit-card; https://www.valleystrong.com/business-rewards-credit-card; https://www.maximizingmoney.com/banking-bonuses/valley-strong-credit-union/; https://www.consumerfinance.gov/credit-cards/agreements/issuer/valley-strong-credit-union/"
"Coast Central CU","n/f (state charter)","Eureka, CA","$2.3B","NO — FOM = live/work Del Norte, Humboldt, or Trinity County (+ Cal Poly Humboldt / College of the Redwoods students) (VERIFIED 2026-06-10)","YES card — Business Visa (Classic/Gold, fixed or variable); LOC n/f","Business Visa (up to 4 employee cards on one app), business accounts","Self (VERIFIED — application form says cards issued 'pursuant to Coast Central Credit Union VISA Credit Card Agreement'; PDF parsed 2026-06-10)","UNKNOWN — 'Requested Credit Limit' free-entry per card on app; approval limits set by CU loan officer","FULL-DOC (VERIFIED from app PDF): 'Remit with current Business Tax Return and Profit/Loss Statement & Balance Sheet' (non-profits: annual financial report); PFS per ≥owner; SSN/DOB/% ownership of all principals","No stated minimum, but 'Date Started' captured on app (UNKNOWN gate)","Paper application (PDF, rev 10/04) to branch","UNKNOWN","reference/skip — self-UW but full-doc paper process and un-joinable from SoCal","VERIFIED (primary doc). 2026-06-10","—","https://www.coastccu.org/wp-content/uploads/2017/05/BusinessVisa.pdf; https://www.coastccu.org/"
