"1C. EXECUTION CHECKLISTS — v7.4 (2026-06-11, ENHANCE-99) — the operational runbook: run the ENTIRE funding plan from this tab. Section 1 once on Day 0; loop Sections 2→3→4→5 for every sprint in Tab 1B's calendar; Section 6 fires on dates. Print this tab.",,,,,
"HOW-TO: Tab 1B governs APPLICATION ORDER; this tab governs EXECUTION. Mark ☐ → ☑ in the Done? column as you go. Color key = README: GREEN = confirmed favorable / do-now, AMBER = verify before relying, RED = blocker/stop, BLUE underline = clickable link. Internal refs (""Tab 8"", ""1B"") are workbook tabs.",,,,,
Step,Item,Detail / script,Why,Link,Done?
"SECTION 1 — DAY 0 CHECKLIST (run once, the day you start; matches 1B ""DAY 0"" row)",,,,,
1.1,Freeze TransUnion (TU),"Online freeze at TU Service Center — free, instant; keep login + PIN in your doc pack.",Sprint rule: only the bureau being worked is ever thawed (1B freeze/thaw rule).,TU freeze (https://www.transunion.com/credit-freeze),☐
1.2,Freeze Experian (EX),"Online freeze at Experian Freeze Center — free, instant.",Same — EX stays frozen until an EX sprint.,EX freeze (https://www.experian.com/freeze/center.html),☐
1.3,Freeze Equifax (EQ),"Online freeze at myEquifax — free, instant.",Same — EQ stays frozen until the EQ sprint (and the Chase dual-pull exception).,EQ freeze (https://www.equifax.com/personal/credit-report-services/credit-freeze/),☐
1.4,Freeze + monitor SageStream (LexisNexis Risk),Place the LexisNexis/SageStream security freeze; note confirmation number.,U.S. Bank soft-pulls SageStream and can deny on it (1B TU Set 1 #2 warning).,SageStream/LexisNexis freeze (https://consumer.risk.lexisnexis.com/freeze),☐
1.5,Freeze + monitor ARS (Advanced Resolution Services),Request the ARS freeze via its consumer office (mail/phone form).,Second secondary bureau U.S. Bank consults — freeze BEFORE Sprint B.,ARS consumer office (https://www.ars-consumeroffice.com/),☐
1.6,Self-pull your ChexSystems consumer report (free),Order the FACTA consumer disclosure; save the PDF as your Day-0 baseline.,Baseline = proof of a clean file before deposit pre-work; re-pulled at +45d (§5.3).,Chex consumer disclosure (https://www.chexsystems.com/request-reports/consumer-disclosure),☐
1.7,Self-pull your Early Warning (EWS) consumer report (free),Request the EWS consumer report (1-800-745-4210 or online form); save the PDF.,Chase/BofA/Wells/PNC all touch EWS — baseline before the stack.,EWS consumer info (https://www.earlywarning.com/consumer-information),☐
1.8,Start the Stanford FCU $5 membership clock,"Join online ($5, remote/Zoom verify). Clock runs to ~2026-12-11 (6-mo seasoning; biz card also wants 2-yr TIB).",Stanford biz Visa to $50K + unsecured LOC to $100K is gated on membership age (1B EX CLOCK row).,sfcu.org biz card (gates verified 2026-06-11) (https://www.sfcu.org/business/business-credit-card),☐
1.9,Assemble the doc pack (Section 4 below),"Build Tier 1 folder today (EIN letter, articles/OA, license, 2 bank statements, DL, address proof); know where Tier 2 lives.","Branch/RM rows (First Citizens, CB&T, Kinecta, Banner) are dead-on-arrival without it.",→ Section 4 (this tab),☐
1.10,Set 2 calendar reminders: WaFd 2026-06-30 + Stanford ~2026-12-11,Reminder 1: WaFd re-opens applications after 6/30 — re-check product + ask bureau. Reminder 2: Stanford 6-mo clock matures.,Both are date-gated rows that silently expire if not calendared (1B ASK Set 3 / EX CLOCK).,WaFd card FAQ (pause notice) (https://www.wafdbank.com/personal-banking/credit-cards/cash-back-credit-card-faq),☐
1.11,Baseline funding tally = $0,Open the tally: approved credit $0 vs goal $25K–$50K. Update after EVERY sprint (stop rule §2.6).,The whole plan stops when the goal is hit — every extra app costs inquiries.,→ 1B FUNDING TALLY row,☐
1.12,Establish the D&B file (gates the Sam's Club EIN-only lane),Request a free DUNS at dnb.com → open 3–4 net-30 vendor tradelines that report to D&B (Uline / Quill / Grainger class) → pay early → Paydex 80 after ~2–3 reporting cycles (~30–60d) → then the Sam's in-club EIN-only app (1B NO-PULL #4).,Prerequisite for the Sam's Club in-club EIN-only lane (1B NO-PULL #4) and strengthens every EIN-only fintech limit (Ramp / Mercury IO / BILL).,D&B: get a free DUNS (https://www.dnb.com/duns-number/get-a-duns.html),☐
"SECTION 2 — PER-SPRINT PRE-FLIGHT (run before EVERY set of 3 — Sprints A, B, C, D, E+)",,,,,
2.1,Confirm which bureau THIS sprint pulls; thaw ONLY that bureau,"Check the sprint row in 1B (A=EX, B=TU, C=EQ, D=EX…). Thaw that one bureau online, then LOG BACK IN and verify status shows ""unfrozen/thawed"" before any app. Exceptions: Chase needs EX+EQ; First Citizens tri-merge needs all 3 for that visit.",A frozen target bureau = auto-decline/delay; a thawed wrong bureau = wasted inquiry on the wrong sprint.,EX / TU / EQ freeze centers (https://www.experian.com/freeze/center.html),☐
2.2,Confirm all 3 targets' applications are READY,"Forms pre-filled, online logins working, membership numbers in hand (CU rows), EIN/SSN/revenue figures on a card in front of you.",The same-day rule (2.3) only works if nothing stalls mid-set.,→ 1B sprint rows,☐
2.3,Submit all 3 applications the SAME DAY,Inquiries take ~24h+ to post — same-day submission means each lender sees the pre-set file. Order within the day per 1B (e.g. EX Set 1: FNBO first — it is inquiry-sensitive and won't combine same-day pulls; Amex last/soft).,"This is the entire point of ""sets of 3"" (1B RULE row 11).",→ 1B RULE row (same-day),☐
2.4,Doc pack within reach,Tier 1 folder (Section 4) on the desk for online apps; in the bag for branch apps.,Limit-raising callbacks and branch visits ask for documents same-day.,→ Section 4 (this tab),☐
2.5,Deposit-account prerequisites DONE for this set,Check the gate rows: BMO biz checking before its card (TU Set 1 #1); U.S. Bank deposit relationship helps Triple Cash+CFM (TU Set 1 #2); PNC biz checking BEFORE the Chase/BofA/Wells EWS stack and before any PNC card (EX Set 2 / EQ Set 1); First Citizens biz checking at the LB branch before its card (EQ Set 1 #2).,Deposit-first rows decline or underprice without the relationship; PNC is EWS-sensitive.,→ 1B WEEK 1–2 pre-work row,☐
2.6,STOP-RULE check,Total approved credit ≥ $50K (stretch $100K)? → STOP. Run no more hard pulls; shift to CLI strategy (§5.5) and the no-pull lane only.,Goal is $25K–$50K; every app past the goal is pure inquiry damage.,→ 1B FUNDING TALLY row,☐
2.7,Log every result in Section 5 format,"One line per app: institution, product, bureau actually pulled (ASK!), limit, docs requested, date → into Tab 8 (BUREAU EVIDENCE) format.",Each logged result is a verified DP that upgrades the workbook for the next sprint.,→ Tab 8. BUREAU EVIDENCE,☐
SECTION 3 — BANKER CALL SCRIPT (ask all 7 on every call/visit — every call mints a verified DP for Tab 8),,,,,
3.1,Q1 — Bureau,"""Which personal credit bureau do you pull for business card/LOC applications — TransUnion, Experian, or Equifax?""",Slots the institution into the right sprint (or out of it).,→ Tab 8. BUREAU EVIDENCE,☐
3.2,Q2 — Hard or soft,"""Is that a hard or soft pull? Do you offer any prequalification with a soft pull only?""","Soft/pre-qual lanes (FNBO, PNC BLOC) are free looks — always take them first.",,☐
3.3,Q3 — Documents,"""What documents are required at my revenue/time-in-business level — and at what limit does it become full-doc?""",Defines whether the row stays in the no-doc plan and where the full-doc cliff is.,→ Section 4 (this tab),☐
3.4,Q4 — Personal guarantee,"""Is a personal guarantee required?""",PG = personal liability + personal-bureau exposure on default; non-PG lanes are rare (Ramp/Mercury/Sam's EIN).,,☐
3.5,Q5 — Deposit screening,"""Do you use ChexSystems or Early Warning when opening the deposit account?""",Decides where the account-opening fits in the Chex-clean window (1B pre-work).,DoC Chex list (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),☐
3.6,Q6 — Limits + CLI,"""What are typical starting limits for a business like mine, and what's the credit-line-increase policy and timeline?""",A $5K start with 91-day soft CLIs can beat a $10K start with hard-pull CLIs (§5.5).,,☐
3.7,Q7 — Personal reporting,"""Does the card report to my personal credit — always, never, or only on default?""",Drives the utilization rule (§5.4) and protects personal scores between sprints.,"→ 1B ""Reports to personal?"" column",☐
3.8,WHO TO CALL FIRST — the 5 highest-value calls,Mini table below: one call/visit each answers bureau + issuer + Chex + docs in a single DP.,These unlock the AMBER rows that block sprint slotting.,,☐
3.9,"CB&T — walk in, 444 W Ocean Blvd, Long Beach (0.12 mi from WTC)",Run Q1–Q7 in-branch. Biggest advertised limit in the workbook (AmaZing up to $250K); zero applicant DPs exist — your visit creates the first.,Rank-16 / ASK Set 1 #1 row is unslottable until the bureau is known.,calbanktrust.com biz cards (https://www.calbanktrust.com/business/business-credit-cards/),☐
3.10,Rize CU — call 800-866-6474,One call answers all four: bureau + issuer (likely self-issued) + Chex + doc list. $5K–$50K published.,Platinum candidate; Ontario branch 7.88 mi from Fontana.,rizecu.com Business Visa (https://rizecu.com/business-visa/),☐
3.11,"Valley Strong CU — phone screen, then join (soft pull)","Membership is a SOFT pull — join costs nothing on any bureau. Screen call: Q1–Q7, esp. limits (""high spending limits"" unpublished) + Chex.",Cheapest CU to stage; card only after the answers.,valleystrong.com Business Platinum (https://www.valleystrong.com/business-platinum-credit-card),☐
3.12,"Enterprise Bank & Trust — Jessica Morrow, (833) 896-2850 / jmorrow@","Ask for WRITTEN terms (limit band, bureau, docs, PG) BEFORE any pull. The ~$50K broker-channel claim is still UNVERIFIED (re-checked 2026-06-11).",Rank 7 + Diamond D2 rest on one unverified broker claim — the email fixes that.,enterprisebank.com biz cards (https://www.enterprisebank.com/business/credit-cards),☐
3.13,Banner Bank — the post-app bureau-disclosure trick,"Banner DISCLOSES which bureau it pulled if you ask (app PDF confirms hard pull on guarantor). Ask Q1 first; if you ever apply, ask again post-app and log the answer. ⚠ Chex QualiFile AUTO-DENY — clean Chex required first.",Free verified DP from an institution that volunteers it on request.,bannerbank.com biz cards (app PDF) (https://www.bannerbank.com/business-solutions/services/small-business-credit-cards),☐
"SECTION 4 — DOC PACK (what to bring; Tier 1 = always for branch/RM, Tier 2 = only if full-doc)",,,,,
4.1,TIER 1 — EIN letter (CP-575 or 147-C),"Original IRS CP-575 from EIN assignment; if lost, call IRS Business line 800-829-4933 for a 147-C replacement letter.",First document every branch asks for; proves the EIN.,IRS: EIN page (incl. lost-EIN guidance) (https://www.irs.gov/businesses/employer-identification-number),☐
4.2,TIER 1 — Articles of Organization/Incorporation + Operating Agreement,Stamped CA SOS articles + signed operating agreement (LLC) or bylaws (corp). Certified copies downloadable from bizfile.,Proves the entity exists and who is authorized to sign.,CA SOS bizfile Online (https://bizfileonline.sos.ca.gov/),☐
4.3,TIER 1 — Business license (if any),"City business license (Long Beach / Fontana) if your activity requires one; bring whatever exists, note if exempt.","Some branch checklists ask; ""exempt"" is an acceptable answer if true.",,☐
4.4,TIER 1 — 2 most-recent business bank statements,Last 2 monthly statements (PDF + printed). Mercury/operating account statements count.,The no-doc rows still verify cash flow informally; statements close limit discussions upward.,,☐
4.5,TIER 1 — Personal driver's license,Current CA DL (or passport) for the guarantor/signer.,"KYC at every institution, deposit or credit.",,☐
4.6,TIER 1 — Business address proof,"Lease, utility bill, or bank statement showing the business address (Fontana 92336 / Long Beach 90802).",Address mismatches stall apps; branch rows verify locally.,,☐
4.7,TIER 2 — 2 years business + personal tax returns,"Only when an app crosses the full-doc cliff (ask Q3 first — §3.3). Keep PDFs ready, do not volunteer.",Full-doc rows (City National; $50K+ asks at CUs) require them.,,☐
4.8,TIER 2 — P&L + balance sheet (YTD),Current-year P&L and balance sheet; bookkeeping export is fine for most banks.,Standard second ask at full-doc; Stanford wants a PFS at card stage.,,☐
4.9,TIER 2 — Expect IRS Form 4506-C/4506-family consent at full-doc,"At full-doc, lenders may have you sign a form from the 4506-C/4506 family (IVES transcript consent) so they can pull return transcripts directly.","Know what you are signing; it is normal at full-doc, absent at no-doc.",IRS: About Form 4506 (4506-C family) (https://www.irs.gov/forms-pubs/about-form-4506),☐
4.10,NOTE — what each apply-type actually needs,ONLINE apps usually need only EIN + SSN + revenue figures typed in (no uploads at standard limits). RM/BRANCH apps = bring the full Tier 1 folder. Tier 2 stays home unless Q3 says full-doc.,Saves a stalled session: online ≠ branch requirements.,,☐
"SECTION 5 — POST-APPROVAL / POST-DENIAL (run after every application, win or lose)",,,,,
5.1,Record the DP into Tab 8 format,One row: institution | product | bureau actually pulled (ASK — do not assume) | limit | docs requested | date. Add it to Tab 8 (BUREAU EVIDENCE) so the next sprint runs on verified data.,Your own results are VERIFIED-grade evidence — the highest grade in the workbook.,→ Tab 8. BUREAU EVIDENCE,☐
5.2,If DENIED: ask which bureau was pulled + the stated reason,Banner discloses the bureau on request (§3.13); most banks state a principal reason on the adverse-action notice. Log both. The denial letter itself names the bureau — read it.,A denial that mints a bureau DP is half a win; the reason steers the next set.,Adverse action = free bureau DP (https://www.consumerfinance.gov/ask-cfpb/what-is-an-adverse-action-notice-en-1381/),☐
5.3,45-day: re-pull ChexSystems + EWS consumer reports,Order fresh copies of both (links →) ~45 days after each sprint; diff against the Day-0 baseline for new inquiries/reporting.,Shows which institutions actually hit Chex/EWS — feeds Tab 9 and protects the next deposit opening.,Chex report / EWS report (https://www.chexsystems.com/request-reports/consumer-disclosure),☐
5.4,Utilization rule,"Where ""Reports to personal?"" = Yes (1B col M): keep statement utilization <30% (ideally <10%). Where = No / EIN-only / derog-only: utilization is INVISIBLE to personal scores — use the line freely.",Protects personal scores between sprints without idling usable credit.,"→ 1B ""Reports to personal?"" column",☐
5.5,CLI ask at 3–6 months,"Calendar a credit-line-increase request 3–6 months after each approval. FNBO: small CLI = soft pull, LARGE CLI = instant hard pull (myFICO DP) — size the ask. BMO and Sam's Club grow primarily via CLIs ($8K→$30K path).",CLIs are how a $7.5K start reaches the $25K–$50K goal without new apps.,myFICO: FNBO CLI hard-pull DP (https://ficoforums.myfico.com/t5/Credit-Card-Applications/FNBO-CLI-request-instant-hard-pull/td-p/6695146),☐
5.6,Cooling periods,"SAME bureau: wait 30–45 days minimum between sets (1B calendar runs conservative ~90d spacing for Sprint E+ re-runs on a worked bureau). DIFFERENT bureau: no cooling needed — next sprint can start per calendar. NO-PULL lane (Ramp/Mercury/BILL/Sam's EIN): never needs cooling, run anytime.",Inquiry density is per-bureau; the one-bureau-per-sprint design only pays off if cooling is per-bureau too.,→ 1B calendar rows,☐
SECTION 6 — RE-VERIFY SCHEDULE (evidence-decay killer: load-bearing claims + stale-by dates; all AMBER until re-verified),,,,,
6.1,PNC BusinessOptions/BLOC soft-EQ $25K–$100K,DP verified 2026-04-17 (plus 2 priors) → STALE BY 2026-10. Re-verify: re-read thread + call PNC business line before Sprint C.,Anchors the ENTIRE EQ sprint (Sprint C lead) + Tab 1 rank 10; pnc.com bot-blocks fetchers.,myFICO 6862301 (2026-04-17 soft-EQ DP) (https://ficoforums.myfico.com/t5/Business-Credit/Business-Line-of-Credit-at-PNC/td-p/6862301),☐
