"⚠ Rank = value. For APPLICATION ORDER use Tab 1B — do not apply top-down. (Chase/BofA/Wells stack AFTER the PNC deposit; sets of 3 same-day; see ""Sprint slot (1B)"" column →)",,,,,,,,,,,,,,,
Rank,Institution,Why it's here,Nearest location + miles,Bureau pulled (+grade),ChexSystems,EWS,Biz card confirmed?,Stated/Est. limit,No-doc?,Self-UW / issuer,Apply,Assets,Next action,Sprint slot (1B),Reports to personal?
1,Chase Ink (https://creditcards.chase.com/business-credit-cards),Best self-UW online; Ink train,LB 0.44 mi; Fontana 1.18 mi,EX-lean; CA dual EX+EQ seen [COMMUNITY-DP] (https://www.doctorofcredit.com/knowledge-base/which-credit-bureau-does-chase-pull/),No (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Y (https://creditcards.chase.com/business-credit-cards/ink/cash),$5K–$36K (myFICO 6803261) (https://creditcards.chase.com/business-credit-cards/ink/cash),"Y — PG, no tax returns (https://creditcards.chase.com/business-credit-cards)",Self (JPMorgan Chase NA),Online,~$4.9T,Apply Ink Cash; mind 5/24,EX Set 1 #3 — same-day set; submit 2nd in day (dual EX+EQ); stack AFTER PNC deposit,Derog-only (default; Ink does not add to 5/24)
2,Amex (business) (https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/),EX-only; soft pull for members,Online (national),EX ~95%; CA EX 41/TU 2/EQ 1 [COMMUNITY-DP] (https://www.doctorofcredit.com/credit-bureau-american-express-pull/),Yes (consumer chk) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/),$6K–$20K; charge NPSL to $250K (myFICO 6507116) (https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/),"Y — PG, no tax returns (https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/)",Self (American Express NB),Online,—,Unfreeze EX; apply Blue Business,EX Set 1 #1 — same-day set; submit last (soft pull if existing member; cf NO-PULL #5),Derog-only (60+ days)
3,U.S. Bank (card + Cash Flow Manager) (https://www.usbank.com/business-banking/business-credit-cards.html),TU biz DP; LOC sidecar,LB 0.80 mi; Fontana 1.40 mi,TU (biz Triple Cash DP ~2026-01) [COMMUNITY-DP]; CFM LOC bureau UNKNOWN (https://www.doctorofcredit.com/credit-bureaus/which-credit-bureau-does-each-card-issuer-pull/),Yes (not sensitive) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.usbank.com/business-banking/business-credit-cards.html),$3K–$10K typ; $20K–$35K strong (myFICO 6845780); CFM LOC no-doc at standard limits (https://www.usbank.com/business-banking/business-credit-cards.html),Y — no tax returns (cards/CFM std) (https://www.usbank.com/business-banking/business-lines-of-credit.html),Self (U.S. Bank NA),Online,~$695B ‖ $683.38B (FDIC 2026-03-31),Freeze SageStream+ARS first; apply Triple Cash,TU Set 1 #2 (Sprint B) — freeze SageStream+ARS first; same-day set,No (never in good standing)
4,FNBO (First National Bank of Omaha) (https://www.fnbo.com/small-business/credit-cards),$50K stated max; EX biz DP,Online (national),EX — BUSINESS-specific DP (prequal language) [COMMUNITY-DP] (https://ficoforums.myfico.com/t5/Credit-Card-Applications/FNBO-CLI-request-instant-hard-pull/td-p/6695146),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.fnbo.com/small-business/credit-cards),"$50,000 stated MAX (fnbo.com); instants $7.1K–$14K (https://www.fnbo.com/small-business/credit-cards)",Y — no financials at app (std limits) (https://www.fnbo.com/small-business/credit-cards),"Self (""Cards are issued by FNBO"")",Online,—,Run soft-pull pre-qual NOW,EX Set 1 #2 — same-day set; submit FIRST (inquiry-sensitive),Derog-only (negatives)
5,Bank of America (https://business.bankofamerica.com/en/credit-cards),EX; no Chex; big instants,Fontana 1.50 mi; LB 2.11 mi,EX-primary (82% of 129 DPs; CA EX 15/TU 6/EQ 4) [COMMUNITY-DP] (https://www.doctorofcredit.com/credit-bureau-bank-america-pull/),No (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Y (https://business.bankofamerica.com/en/credit-cards),$8K–$16K typ; to $39.5K instant (myFICO 6510094) (https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards),"Y — PG, no tax returns (https://business.bankofamerica.com/en/credit-cards)",Self (Bank of America NA),Online,~$3.41T ‖ $2.67T bank-level (FDIC 2026-03-31),Apply Business Advantage online,"EX Set 2 #4 (Sprint D, Day 75+)",Derog-only (serious delinquency)
6,BMO (https://www.bmo.com/en-us/main/business-banking/credit-cards/),TU confirmed; 0% 18 mo,LB 0.68 mi; Fontana 7.16 mi (RC),"TU — mentor AGREES, strongest DP set ($7.5K biz approval) [COMMUNITY-DP] (https://fairfigure.com/blog/business-credit-cards-that-pull-transunion)",Yes (not inquiry-sensitive) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Reports (no inquiry DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.bmo.com/en-us/main/business-banking/credit-cards/),DPs $1.3K–$7.5K; grows via CLI (myFICO 6773916) (https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/),Y — no income docs typical (https://www.bmo.com/en-us/main/business-banking/credit-cards/),Self (BMO Bank NA),Online,~$265B,"Open biz deposit acct first, then card",TU Set 1 #1 (Sprint B) — open biz deposit acct in pre-work first,Unknown (likely derog-only)
7,Enterprise Bank & Trust (https://www.enterprisebank.com),Self-UW verified; ~$50K claimed,8 SoCal branches (Cerritos/DTLA/Anaheim),NO-DATA (datapoint desert); FIS rails verified [UNKNOWN] (https://www.enterprisebank.com/business/credit-cards),Unknown (absent DoC lists) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (absent DoC lists) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.enterprisebank.com/business/credit-cards),~$50K claimed via broker channel (UNVERIFIED) ‖ v7.3: re-checked 2026-06-11: $50K STILL UNVERIFIED; archived (https://www.enterprisebank.com/business/credit-cards),Partial — terms unpublished; RM-flex (https://www.enterprisebank.com/business/credit-cards),Self (VERIFIED HIGH — own card loans on call report),RM,$17.2B,Email RM jmorrow@ / (833) 896-2850 for written terms,"ASK Set 1 #2 — get written terms + bureau, then slot into matching sprint",Unknown (ask banker)
8,Stanford FCU (https://www.sfcu.org),"$50K card + $100K LOC, self-UW","Online (remote join, Zoom verify)","EX — membership hard pull, reusable ~30-60d [CONSUMER-PROXY] (https://www.sfcu.org/personal/credit-cards/)",Unknown (site 403s) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Unknown (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.sfcu.org/business/business-credit-card),Biz Visa to $50K + unsecured LOC to $100K (sfcu.org) ‖ v7.3: VERIFIED live 2026-06-11; archived (https://www.sfcu.org/business/business-credit-card),Partial — PFS-based; no tax returns stated (card) (https://www.sfcu.org/business/business-credit-card),Self (own Business Visa disclosure),Online,$4.8B ‖ NCUA 2026-03-31 fill,Start 6-month membership clock NOW ($5),CLOCK — start $5 membership Day 0; card only after 6-mo seasoning + 2yr TIB,Unknown
9,Rize CU (ex-SCE FCU) (https://rizecu.com),"NEW: $50K published, ACC join",Ontario 7.88 mi (Fontana); ACC join from both,UNKNOWN — ask at app (#'8. BUREAU EVIDENCE'!A1),Unknown — verify (#'3. FUNDING TABLE MASTER'!A238),Unknown (#'3. FUNDING TABLE MASTER'!A238),Y (https://rizecu.com/business-visa/),$5K–$50K published (rizecu.com/business-visa) (https://rizecu.com/business-visa/),"Partial — ""speak with a loan consultant"" (https://rizecu.com/business-visa/)",Likely self (no agent tells) — confirm,Phone/branch,$1.3B,Call 800-866-6474: issuer + Chex + docs,"ASK Set 1 #3 — one call answers bureau/issuer/Chex, then slot",Unknown
10,PNC (https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html),Soft-EQ BusinessOptions path,Online (CA footprint thin),"EX hard (std card); BusinessOptions/LOC = SOFT EQ [CONSUMER-PROXY] ‖ v7.3: soft-EQ BLOC CONFIRMED 2026-04-17 ($50K, no financials ≤$100K, soft pull) (https://wallethub.com/answers/cc/what-credit-bureau-does-pnc-bank-pull-from-1000625-2140778226/)",Yes (mixed DPs) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),Y (https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html),BusinessOptions/LOC $25K–$100K soft-pull (myFICO 6589727) (https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-businessoptions-visa-signature-card.html),"Y — soft-pull path, no tax returns (https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html)",Self (PNC Bank NA),Online,~$574B,Unfreeze EX+EQ; target BusinessOptions,"EQ Set 1 #1 (Sprint C lead, soft-EQ BLOC); std card = EX Set 2 #5 fallback",No (normal use)
