Name,Type,Biz_card_or_LOC,Self_UW,TIB_requirement,Doc_requirement,NoDoc_NoSeason_probability,Bureau,Chex_EWS,Apply_method,New_LLC_DPs,Source_links,Notes
East West Bank,Bank,Yes - business credit cards (One Card / business Visa/MC),Agent-issued by Elan Financial Services (not self-UW); East West One Card disclosure names Elan as creditor/issuer,None stated as hard min - Elan prefers 2yr but NOT required (myFICO),App-only / personal guarantee; no tax returns or financials for card (Elan agent program),MED,Personal bureaus - Elan randomly pulls TU/EX/EQ (one or more); reports biz tradeline to D&B,Not card-relevant (Chex/EWS apply to deposit acct only),Online/branch application via East West (Elan backend),"Elan DP: brand-new LLC + good personal credit approved $10k SL via local bank (myFICO 2023); Elan 'prefers 2yr not required'",https://www.eastwestbank.com/en/small-mid-size-businesses/corporate-card | https://ficoforums.myfico.com/t5/Business-Credit/LLC-age-requirements-for-Elan-business-cards/td-p/6695220 | https://ficoforums.myfico.com/t5/Business-Credit/How-to-get-approved-for-Elan-Financial-business-credit-card/td-p/6308920,Elan agent card = personal-credit driven; new LLC approvable if PG credit strong. Card is Elan not East West UW. No own-page TIB min published (UNVERIFIED own-page).
Cathay Bank,Bank,Yes - business Mastercard credit cards,Agent-issued by Elan Financial Services (page states 'creditor and issuer of these cards is Elan Financial Services'),None stated as hard min - Elan prefers 2yr but NOT required,App-only / personal guarantee; no tax returns/financials for card,MED,Personal bureaus - Elan pulls TU/EX/EQ (one or more); biz tradeline to D&B,Not card-relevant,Online apply link on Cathay biz card page (Elan backend),"Same Elan program DPs: new LLC + strong PG credit approvable (myFICO 2023)",https://www.cathaybank.com/business/credit-cards | https://ficoforums.myfico.com/t5/Business-Credit/LLC-age-requirements-for-Elan-business-cards/td-p/6695220,Elan-issued = personal-credit driven; identical profile to East West. No Cathay-published own-page TIB min.
United Business Bank,Bank,Yes - business credit cards (Standard + Preferred Points rewards) + business line of credit,Agent-issued via third-party provider (TCM Bank N.A. pattern - 'Standard/Preferred Points' is the TCM/ICBA product set); card UW by agent not bank,None published on own page (UNVERIFIED) - TCM program has no stated TIB min; SBA-eligible biz only (new LLC qualifies),App-only / personal guarantee for card; LOC would require financials. Card = no tax returns,MED,Personal bureau (TCM pulls personal credit - typically EX/TU); PG-based,Not card-relevant,Online Apply Now + branch (CA/CO/NV/NM/WA),"No UBB-specific new-LLC DP found; TCM program broadly approves new biz on PG personal credit",https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html | https://www.tcmbank.com/community-bank-solutions/credit-card-program/business-agent-program | https://www.thebankofcanton.com/tcm-bank-credit-card-partnership-faqs/,LOC is self-UW and would need financials/seasoning (LOW for no-doc). Card via TCM agent = better no-doc path. Issuer not explicitly named on page (inferred TCM from product naming).
"Gateway Bank, F.S.B.",Bank,Unclear - small single-branch Oakland thrift; no published business credit card/LOC product page found,Unknown - no card program identified,Unknown - no own application page for biz card/LOC,Unknown,LOW,Unknown,Not card-relevant,Branch/contact only (Oakland HQ); no online biz card app found,No DPs found,https://banks.data.fdic.gov/bankfind-suite/bankfind/details/33103,Tiny ~$216M thrift focused on real-estate/SBA lending; no evidence of an app-only no-doc business card program. Needs direct-contact confirmation. Default LOW.
Summit Bank,Bank,Yes - business credit cards (Standard + Preferred Points) + revolving/non-revolving LOC,Agent-issued via third-party provider (TCM Bank N.A. pattern - 'Standard/Preferred Points' = TCM product set); card not bank-UW,None published on own page (UNVERIFIED) - TCM program has no stated TIB min,App-only / personal guarantee for card; no tax returns. LOC = financials,MED,Personal bureau (TCM pulls personal credit); PG-based,Not card-relevant,Online Apply Now or print+bring to Oakland/Emeryville/Walnut Creek branch,"No Summit-specific new-LLC DP; TCM program approves new biz on PG credit",https://www.summitbanking.com/business/loans/credit-cards/ | https://www.tcmbank.com/credit-card-program | https://banks.data.fdic.gov/bankfind-suite/bankfind/details/23864,NAME-TWIN: this is Summit Bank Oakland CA (CERT 23864 / sbko.bank) NOT Summit State Bank / Summit Bank OR / Summit CU. Card via TCM agent = no-doc path. LOC self-UW needs docs.
"EverBank, National Association",Bank,Personal credit cards via Elan; NO dedicated small-business credit card product found. Business side = C&I LOC/term loans + SBA (self-UW),Cards = Elan-issued (personal). Business LOC/SBA = EverBank self-UW (full underwriting),N/A for card (no biz card); LOC/SBA require seasoning + financials,Business LOC/SBA = full docs (tax returns + financials + business plan). No app-only biz card,LOW,Elan pulls personal bureau for personal cards; business lending pulls personal+business,Not card-relevant,everbank.com/business/apply (deposit); commercial lending via banker,No no-doc new-LLC biz-card DP (no biz card product),https://www.everbank.com/business | https://www.everbank.com/commercial/financing/commercial-industrial-lending | https://www.everbank.com/support/personal/card-help/manage-credit-card,NAME-TWIN: EverBank NA (CERT 34775 ex-TIAA Bank Jacksonville) is NOT EverTrust Bank (evertrustbank.com - separate institution with its own Visa biz cards). No-doc new-LLC card path is LOW: no SMB card product surfaced.
"Golden Bank, National Association",Bank,No credit card product (business or personal). Business = CRE loans / business loans / SBA 7a only,Self-UW relationship lender (SBA PLP); no agent card program,N/A - lending products require full underwriting + seasoning,Full docs: tax returns + financials + SBA paperwork. No app-only product,NONE,Personal + business pulls for lending; no card bureau,Not card-relevant,Branch/banker only (Houston HQ; Fremont branch),No DPs - no card product exists,https://www.goldenbank-na.com/ | https://www.goldenbank-na.com/loan/sba-loans | https://banks.data.fdic.gov/bankfind-suite/bankfind/details/26223,"Houston-based CRE/SBA lender ($44M Alameda dep, Fremont branch). No no-doc no-seasoning unsecured business credit. NONE for this use case."
THE GOLDEN 1,CU,Business Membership Savings exists; NO dedicated business credit card product surfaced (only personal cards: Member First/Cash Rewards+). Business lending limited,Personal cards appear self-issued by Golden 1; no business card agent identified,None published - but no business card product to gate,N/A for biz card (none found); business lending would need docs,LOW,Personal cards pull personal bureau (CA-only credit); no biz card bureau data,Likely ChexSystems for membership deposit account (CU standard),Online/branch/phone; CA residents/workers join with $1 savings,No new-LLC biz-card DP (no biz card product confirmed),https://www.golden1.com/business-services | https://www.golden1.com/credit-cards | https://help.golden1.com/article/apply-for-a-credit-card-3347,Large CA CU but consumer-focused; business side = deposit + some lending. No app-only no-doc BUSINESS card identified. Personal card easy (CA membership) but not a business product. LOW for business no-doc.
TECHNOLOGY,CU,Yes - business Visa credit cards (Classic/Signature) + business loans + lines of credit,Business cards via '3rd party affiliate' (CorServ-style CU card platform); not clearly self-UW,None published on own pages (UNVERIFIED) - no TIB minimum stated for biz card,"Account/card needs KYC docs: LLC articles of organization, EIN, LLC resolution, signer ID - NO tax returns/financials stated for card",MED,Personal bureau pull for card (PG); CU does not publish which,ChexSystems likely for business deposit account (CU standard),Online apply via 3rd-party affiliate 'in minutes' or branch; CA tech-entity membership ($ easy),"No specific new-LLC DP found; no published TIB gate is favorable",https://www.techcu.com/Business/Accounts/Opening-a-Business-Account | https://www.techcu.com/creditcard | https://www.techcu.com/Membership/Eligibility,NAME-TWIN: Tech CU = techcu.com (San Jose CA charter 68383) NOT techcu.org (Indiana/Illinois Tech Credit Union). New LLC can apply (KYC docs only no financials); no seasoning gate published. Membership = CA tech-based entity.
SELF-HELP,CU,Business CHECKING/loans for small biz & nonprofits; personal Mastercard credit cards. NO dedicated business credit card product surfaced,Personal cards self-issued (Mastercard); business = relationship lending (self-UW),N/A for biz card (none); business loans/LOC need full docs + seasoning,Business lending = tax returns + financials (mission/CDFI lender). No app-only biz card,LOW,Personal Mastercard pulls personal bureau; business lending pulls both,ChexSystems likely for deposit account,Branch/online; CA membership via Self-Help FCU,No new-LLC biz-card DP (no biz card product),https://www.self-helpfcu.org/business | https://www.self-helpfcu.org/personal/loans/credit-cards,NAME-TWIN: Self-Help FCU (self-helpfcu.org CA charter 24802) NOT Self-Help Credit Union NC (self-help.org). CDFI mission lender - business credit is relationship/doc-based not no-doc app-only. LOW.
1ST UNITED,CU,NO business credit card - only personal Visa Platinum/Rewards/Share-Secured (Visa-issued). Business checking exists,Personal cards self/Visa issued; no business card program,N/A - no business card product,N/A for card; business deposit needs entity docs (KYC) not financials,LOW,Personal bureau for personal cards,ChexSystems likely for business checking,Online 3-step apply (personal cards); business acct by branch appt,No business-card DP (product does not exist),https://www.1stunitedcu.org/loans-and-credit/product/credit-cards | https://www.1stunitedcu.org/more-for-you/financial-wellness/required-documentation-by-business-entity,Easy membership (lives/works Alameda+5 counties) but NO business credit card to apply for. Personal cards only. LOW for business no-doc card.
I.L.W.U.,CU,Personal Visa credit cards only; no business credit card surfaced,Personal cards self/Visa issued; no business program,N/A - no business card; membership also gated,N/A,NONE,Personal bureau for personal cards,ChexSystems likely,Branch/online; membership RESTRICTED to ILWU union locals members only,No DP - product/eligibility both blocked,https://www.ilwucu.org/loans/credit_cards | https://www.ilwucu.org/membership,Membership CLOSED to general public - only ILWU longshore union members (CA/HI/AK locals). A new Oakland LLC owner cannot join unless union-affiliated. NONE for this use case.
BAY CITIES,CU,Offers credit cards to members; no dedicated business credit card surfaced. Small ~$78M consumer CU,Likely self/Visa issued personal cards; no business card program identified,N/A - no business card product found,N/A,LOW,Personal bureau for personal cards,ChexSystems likely for deposit,Branch/phone (Hayward); SEG/employer-based membership,No business-card DP,https://www.baycities.org/ | https://ncuso.org/credit-union/68316/ | https://dfpi.ca.gov/regulated_entity/bay-cities-credit-union/,"Tiny single-branch Hayward CU (~6,800 members), consumer-focused, SEG-based membership. No evidence of a no-doc business card. LOW (effectively NONE for business no-doc)."
