Name,Type,Biz_card_or_LOC,Self_UW,TIB_requirement,Doc_requirement,NoDoc_NoSeason_probability,Bureau,Chex_EWS,Membership_access,Apply_method,New_LLC_DPs,Source_links,Notes
BMO Bank National Association,Bank,"Self-issued BMO business credit cards (Business Platinum, cash back, rewards) + biz LOC/loans","Self-UW: BMO is its own issuer (not agent). myFICO DP 7/2024: approved next-day, TU pull, no banking relationship.","None stated as hard gate on application; new/young biz approvable. Premium tiers reference revenue but no explicit TIB minimum on US biz cards.","Card: light - ID scan + EIN confirmation letter + biz good-standing (no tax returns/financials). LOC/loans: full lending checklist (financials).",MED,TransUnion pulled (myFICO 7/2024, scores mid-770s); personal credit driven,Not card-relevant,"Open - any US business owner can apply; no banking relationship required","Online + branch (5 Alameda Co branches)","DP: TX sole prop approved $7.5k w/ no prior relationship, EIN letter + ID only, next-day. New LLC plausible w/ strong personal credit.","https://www.bmo.com/en-us/main/business-banking/credit-cards/ ; https://ficoforums.myfico.com/t5/Business-Credit/BMO-Harris-Business-Platinum-7-500/td-p/6773916 ; https://www.bmo.com/en-us/pdf/sb/sb-lending-checklist.pdf","Self-UW issuer, personal-credit driven, no-doc-friendly for cards (EIN+ID). No published TIB gate. MED (card very feasible new; not VERIFIED-zero on own app page)."
Mechanics Bank,Bank,"Biz credit cards (Visa/MC) + Small Biz LOC up to $100k (CA only)",Agent-issued: Elan Financial Services is creditor/issuer of biz cards (own-site disclosure 2026). LOC is self-UW by bank.,"Cards (Elan): NONE required - Elan PREFERS 2yr but NOT required (myFICO DP). LOC: bank UW, likely 2yr-style financials/TIB.","Cards: no-doc for new biz, personal guarantee + D&B/banking profile. LOC: full financials/tax returns likely (commercial UW).",MED,Elan pulls personal bureau (TU/EX/EQ - randomly one or more); reports to D&B not personal,Not card-relevant (Chex is deposit-side),"Open - anyone with CA biz can apply for Elan card via Mechanics","Online/branch apply via Elan portal","New LLC can get Elan card with strong personal credit + PG; no TIB gate. LOC requires established biz.","https://www.mymechanics.com/business/loans-credit/business-credit-cards/ ; https://ficoforums.myfico.com/t5/Business-Credit/How-to-get-approved-for-Elan-Financial-business-credit-card/td-p/6308920 ; https://www.mechanicsbank.com/business-commercial/commercial-lending/sbloc/","Elan = strongest no-seasoning path. Card decisioned on personal credit/PG not biz seasoning. LOC is gated by commercial UW. Probability MED (card-yes, but Elan can be conservative w/o banking relationship)."
Bank of Marin,Bank,"Business credit cards (low rate / cash back / rewards) - via Elan","Agent-issued: Elan Financial Services is creditor/issuer (own-site disclosure 2026).","Cards (Elan): NONE required - Elan prefers 2yr but not required; new-same-year biz approval DP exists.","Card: no-doc/PG + personal credit + D&B/banking profile (Elan standard). No tax returns for card.",MED,Elan: personal bureau pulled (TU/EX/EQ randomly one+); reports to D&B,Not card-relevant,"Open - any business owner can apply for Elan card via Bank of Marin","Online/branch via Elan portal (2 Alameda Co branches: Alameda, Oakland)","New LLC can obtain Elan card; decisioned on personal credit + PG, no TIB gate (Elan DP: same-year biz approved).","https://www.bankofmarin.com/products-and-services/credit-cards/ ; https://ficoforums.myfico.com/t5/Business-Credit/How-to-get-approved-for-Elan-Financial-business-credit-card/td-p/6308920","Same Elan profile as Mechanics. Card no-seasoning feasible. MED (Elan conservative w/o relationship/D&B)."
State Bank of India (California),Bank,"Business credit card (via Elan) + LOC, term loans, SBA Preferred Lender, asset-based","Agent-issued: Elan is creditor/issuer (own-site). But SBIC adds its OWN qualification gate (biz checking + financial stability proof).","No explicit TIB minimum on card page; SBA/LOC products imply seasoning. Card itself: Elan no-2yr-required.","Card REQUIRES: SBIC business checking account + valid Tax ID + 'proof of business financial stability' (= some financials/docs). NOT fully no-doc.",LOW,Elan: personal bureau (TU/EX/EQ); biz to D&B,Chex/EWS likely on required business checking account opening,"Open but card gated by needing SBIC biz checking acct first","Online portal / branch (Fremont)","Card requires opening SBIC biz checking + showing financial stability - friction for brand-new no-doc applicant. SBA/LOC = full UW.","https://www.sbical.bank/business-banking/business-credit-cards ; https://www.sbical.bank/Business-Lending.aspx","Elan card but SBIC layers checking-acct + financial-stability requirement = NOT no-doc/no-relationship. LOW for true no-doc new biz."
Hanmi Bank,Bank,"Business credit cards (World / World Elite Business) + commercial LOC, SBA, term loans","Agent-issued: cards issued by Fifth Third Bank, N.A. (own-site disclosure). Commercial lending self-UW.","No TIB minimum published on card page; Fifth Third agent cards typically expect a Hanmi banking relationship.","Card: subject to credit review/approval (PG + personal credit). Commercial LOC/SBA: full financials/tax returns.",LOW,Fifth Third pulls personal bureau (typ. TU/EX); reports vary,Chex/EWS on deposit account opening,"Open to apply but Fifth Third agent cards generally offered to Hanmi customers (relationship-oriented)","Branch (Dublin) + forms; agent card portal","Fifth Third agent card less documented for brand-new no-relationship LLC; ethnic-community bank, relationship-driven. Commercial side = seasoned/doc-heavy.","https://www.hanmi.com/business/business-credit-cards/ ; https://www.hanmi.com/business/commercial-lending/ ; https://www.53.com/content/fifth-third/en/business-banking/managing-business/credit-card-solutions.html","Fifth Third agent issuer (like Elan/FNBO family). Sparse no-doc/no-season DPs; relationship-oriented. LOW-MED; scored LOW for true cold new-LLC."
California Pacific Bank,Bank,"No consumer-style biz card; relationship merchant-banking loans/LOC/SBA/CRE only","Self-UW relationship merchant bank; tiny ($56M dep).","No published self-serve product; commercial LOC = full UW, seasoning expected.","Full financials/tax returns/relationship (merchant banking); NOT no-doc.",NONE,N/A (no card product); commercial UW pulls personal+biz on loans,Chex/EWS on deposit acct,"Open in theory but no online app; in-person relationship lending only (Hayward/SF)","In-person / call only; no online business card application","No no-doc no-season path; brand-new LLC not a fit for relationship commercial UW.","https://www.calpacificbank.com/ ; https://www.calpacificbank.com/location-and-contact","Very small relationship merchant bank, no published business credit card. No no-doc/no-season product. NONE."
Farmers & Merchants Bank of Central California,Bank,"Business credit cards (via Elan) + business loans/LOC/SBA","Agent-issued: Elan is creditor/issuer (own-site/Lodi CERT 1331). Loans self-UW.","Card (Elan): NONE required - Elan prefers 2yr but not required (new-same-year DP). Loans: seasoned.","Card: no-doc + PG + personal credit (Elan standard). Loans: full financials.",MED,Elan: personal bureau (TU/EX/EQ randomly); biz to D&B,Not card-relevant,"Open - any biz owner can apply for Elan card","Online via Elan portal / branch (Oakland)","New LLC can get Elan card; personal-credit + PG driven, no TIB gate.","https://www.fmbonline.com/ ; https://ficoforums.myfico.com/t5/Business-Credit/How-to-get-approved-for-Elan-Financial-business-credit-card/td-p/6308920","Name-twin caution: this is F&M Bank of Central CA (Lodi, CERT 1331), NOT F&M Long Beach (cdwest.fmb.com) nor F&M State Bank. Standard Elan card profile. MED."
PATELCO,CU,"Business Rewards Credit Card (SELF-issued by Patelco) + biz checking/LOC/overdraft","Self-UW: card issued by Patelco Credit Union (NMLS 506373), NOT Elan. Own decisioning.","2 YEARS - VERIFIED own page: 'your business must be established for at least two years.' === 2YR GATE = FAIL ===","Not fully specified; 2yr seasoning is the hard gate regardless of docs.",NONE,Patelco internal UW (personal credit pull, likely EX/TU);,Chex/EWS on business checking opening,"OPEN - live/work/worship/school in Alameda + 15 other CA counties; very easy to join","Online / Virtual Branch / branch (multiple Alameda Co branches)","Brand-new LLC BLOCKED by 2yr requirement. Membership open but card seasoning-gated.","https://www.patelco.org/business-banking/business-rewards-card ; https://www.patelco.org/about-patelco/become-a-member","=== TIB GATE: 2YR (VERIFIED own page) ===. Membership openly joinable but the self-issued biz card hard-requires 2yr in business. NONE for new LLC."
BLUPEAK,CU,"Business credit cards (low rate/cash back/rewards) - via Elan","Agent-issued: Elan is creditor/issuer (own-site /credit-cards/).","Card (Elan): NONE required - Elan prefers 2yr but not required (new-same-year DP).","Card: no-doc + PG + personal credit (Elan standard).",MED,Elan: personal bureau (TU/EX/EQ randomly); biz to D&B,Chex/EWS on membership/deposit opening,"OPEN - live/work/worship in Alameda/Sacramento/San Diego/Santa Clara/Yolo; also KPBS backdoor for anyone","Online via Elan portal after membership / branch (Berkeley)","Join CU (open), then apply Elan biz card; no TIB gate, personal-credit + PG driven.","https://www.blupeak.com/credit-cards/ ; https://www.blupeak.com/faq/how-do-i-apply-for-membership/ ; https://ficoforums.myfico.com/t5/Business-Credit/How-to-get-approved-for-Elan-Financial-business-credit-card/td-p/6308920","Open membership + Elan no-season card = solid new-LLC path. MED (Elan conservative w/o relationship/D&B). Must join CU first (easy)."
KEYPOINT,CU,"Business credit cards + business loans + SBA Preferred (7a)","Likely self-issued (own credit-card program; consumer Visa Platinum self-UW per myFICO DP). Issuer not explicitly disclosed on biz card page.","No TIB minimum stated on own biz card page (no 2yr gate found). Application asks annual revenue + EIN only.","Light: 'information about yourself and your business - total annual revenue and Tax ID/EIN.' EIN required (except sole prop). No tax returns required to apply.",MED,Personal credit pull (myFICO consumer DP: KeyPoint pulls; CA CU typ. EX/TU);,Chex/EWS on membership/business checking opening,"OPEN - live/work/worship/school in Bay Area communities OR ANY CA resident via Financial Fitness Association (FFA) backdoor","Online portal / phone / branch (Dublin); instant issue in-branch","No TIB gate on biz card app; needs EIN + revenue figure. New LLC plausible w/ EIN + personal credit.","https://kpcu.com/business/lending/business-loans/business-credit-cards ; https://kpcu.com/Membership ; https://ficoforums.myfico.com/t5/Credit-Card-Approvals/KeyPoint-Credit-Union-Approved-Visa-Platinum-19-500/td-p/6665364","Open membership (FFA). Biz card app low-doc (revenue+EIN), no published TIB gate. Issuer not confirmed; self-issue likely. MED (no DP of brand-new-LLC biz card approval found)."
SUNWARD,CU,"Business credit cards + business loans + treasury mgmt","Issuer not confirmed on page; CU partners typically Elan/self for CUs this size.","No TIB minimum found on own business pages.","Not specified; CU business card likely PG + personal credit + EIN.",MED,Personal credit pull (CU standard);,Chex/EWS on membership/business checking,"OPEN - anyone via free American Consumer Council (ACC) membership; also NM/CO geographies + 1400 SEGs","Branch (Livermore) / online; ACC join processed by Sunward","New LLC can join via ACC then apply biz card; no TIB gate found.","https://gosunward.org/who-can-join/ ; https://gosunward.org/about-us/ ; https://creditunions.org/c/sunward-federal-credit-union-5851","Name note: Sunward FCU (CERT 5851, Albuquerque NM HQ, $4.2B) has a Livermore CA branch; NOT Operating Engineers FCU (separate Livermore CU). Open via ACC. Biz card issuer unconfirmed. MED."
SEA WEST COAST GUARD,CU,"NO business credit product - only PERSONAL Visa (Classic/Gold/Platinum). No biz card/LOC found.","N/A - no business credit product.","N/A - no business product.","N/A - consumer cards only.",NONE,Personal credit pull on consumer cards;,Chex/EWS on $5 savings membership account,"GATED - Coast Guard (active/retired/reserve/aux/civilian), any-branch military/honorably-discharged veteran, DHS employee in CA/NV/AZ/UT, or Navy League member; + immediate family. Random Oakland biz owner NOT eligible unless veteran/military/DHS/Navy-League (Navy League is a paid open backdoor for civilians).","Online/branch (Alameda, Oakland) - membership only","No business product at all; consumer-only CU.","https://www.seawest.coop/how-to-join ; https://seawest.coop/credit-cards","GATED occupational/military CU. No business credit card or LOC offered (consumer Visa only). Navy League is a possible civilian backdoor to membership but still no biz product. NONE."
UTILITY DISTRICT,CU,"NO business products - consumer only (auto loans, mortgages, savings/checking). No biz card/LOC.","N/A - no business credit product.","N/A","N/A",NONE,Personal credit on consumer loans;,Chex/EWS on $25 share + $5 fee membership,"GATED hard - EBMUD (East Bay Municipal Utility District) employees + immediate family ONLY (founded 1935). Random Oakland business owner CANNOT join.","Branch (Oakland) - membership-restricted","Not applicable; tiny ($34M) closed-SEG consumer CU, no business lending.","https://udcu.org/about/ ; https://udcu.org/faq/ ; https://dfpi.ca.gov/regulated_entity/utility-district-credit-union/","GATED single-SEG employer CU (EBMUD only). No business products. Not accessible to a general Oakland business owner. NONE."
