Institution,CERT_or_issuer,Type,HQ,CA_Access,Biz_card_or_LOC,Products,Underwriter(+evidence),Est_limit(+evidence),No_doc_evidence,Apply,Chex_EWS_note,Bureaus_note,Tier_hint,Confidence,DP_dates,Source_links
Monet Bank,CERT 32574,"Bank (ex-Beal Bank SSB, deposit-focused)","Plano, TX",Yes physical — 2 CA branches: San Diego (8880 Rio San Diego Dr) + Walnut Creek (VERIFIED FDIC API 2026-06-10),"NO — neither (VERIFIED monet.bank 2026-06-10: product line = CDs, money market, savings only)","CDs / MMA / savings only; zero credit products, zero business-lending pages",N/A — no card program (VERIFIED 2026-06-10),N/A,N/A,N/A — nothing to apply for (deposits only),"UNKNOWN (not checked — irrelevant, no credit products)",N/A,skip,HIGH (deposit-only confirmed cheaply),2026-06-10,https://www.monet.bank/; https://api.fdic.gov/banks/locations?filters=CERT:32574
United Security Bank (Fresno) -> DEFUNCT; successor Community West Bank,"CERT 27132 (INACTIVE, end 2026-04-03); successor CWB",CA-HQ community bank — MERGED AWAY,"Fresno, CA","Was Fresno/Central-CA only; successor Community West Bank = Central CA (Fresno HQ, ~$5B); no SoCal branches","USB itself: NO biz card, NO published LOC (VERIFIED sitemap 2026-06-10: only C&I/RE/Ag loans). Successor CWB: YES, 2 biz cards","CWB: Standard Business Card ($0 AF) + Preferred Points Business Rewards ($49 AF), Mastercard","CWB cards = agent program: apply link -> cardaccount.net/application/.../business/new = TCM Bank N.A. (ICBA) application rail (INFERRED from cardaccount.net domain, 2026-06-10; Elan markers absent)",UNKNOWN — no published limits or forum DPs found,None — TCM agent biz apps typically PG + standard underwriting (UNKNOWN specifics),Online via cardaccount.net link on communitywestbank.com (VERIFIED 2026-06-10),UNKNOWN,UNKNOWN (TCM programs vary),"reference — the 'lone CA-HQ gap' is CLOSED: bank absorbed 2026-04-01 by Community West Bancshares (all-stock, ~$191.9M)",HIGH on merger + USB no-card; MED on TCM inference,merger close 2026-04-01; checked 2026-06-10,https://www.businesswire.com/news/home/20260401074081/en/; https://www.unitedsecuritybank.com/sitemap; https://www.communitywestbank.com/business-credit-cards; https://api.fdic.gov/banks/institutions?filters=CERT:27132
Citizens Bank N.A. (RE-SCREEN),CERT 57957,"National bank, major card issuer","Providence, RI","PARTIAL/NO for retail biz: business products offered ONLY in CT/DE/FL/MD/MA/MI/NH/NJ/NY/OH/PA/RI/VT/VA/DC (VERIFIED citizensbank.com footer via search 2026-06-10). The $3.7B CA SOD deposits = Citizens PRIVATE BANK offices (SF 2024; LA/Beverly Hills/South Bay teams added 2025-10-29) — HNW/UHNW channel, not retail branches",YES — self-issued business Mastercards (+ biz LOC in footprint),"Everyday Points Business Mastercard ($0 AF, 3x pts, 50K pts/$5K 90d); Business Platinum Mastercard (low intro APR)",SELF — Citizens Bank N.A. is issuer (VERIFIED WalletHub/citizensbank.com 2026-06-10; no Elan/agent markers),UNKNOWN — no solid public limit DPs surfaced this pass (site bot-blocks; myFICO thin on Citizens biz),UNKNOWN — standard PG app; no no-doc evidence,Online or phone 888-333-5145 — but state-restricted footprint (VERIFIED 2026-06-10); CA biz likely rejected at address gate unless via Private Bank RM,UNKNOWN this pass (citizensbank.com 403s; Chex use widely reported for deposits but unverified here),UNKNOWN (issuer-level biz reporting not confirmed),reference for SoCal (Private-Bank-only CA door); re-flag if retail CA branches open,MED-HIGH (footprint verified; card self-issue verified; CA-gate inferred),2026-06-10; private-bank LA news 2025-10-29,https://investor.citizensbank.com/about-us/newsroom/latest-news/2025/2025-10-29.aspx; https://www.citizensbank.com/small-business/business-credit-cards/overview.aspx (403); https://wallethub.com/answers/cc/citizens-bank-business-credit-card-2140671608/
UMB Bank N.A.,CERT 8273,Regional bank; ALSO agent/cobrand issuer for other banks,"Kansas City, MO","Yes-CA-footprint but NOT SoCal: 8 CA branches all Central CA — Fresno, SLO x2, Paso Robles, Salinas, Mariposa, Groveland, Oakhurst (ex-Premier Valley via Heartland acq 2025-01-31; VERIFIED FDIC API 2026-06-10). Online biz-card app open",YES — own biz card direct + commercial cards + cobrand/agent programs for others,UMB Visa Signature Business Rewards ($200/20K-pt bonus @$2K/90d); commercial card suite,"SELF — 'issued by UMB Bank n.a., Member FDIC' (VERIFIED umb.com 2026-06-10)",UNKNOWN — no published max; no forum DPs found this pass,"WEAK — online app asks gross annual sales, net profit, assets/liabilities + formation docs (operating agreement/bylaws); no tax returns stated but financials-questionnaire style (VERIFIED umb.com app FAQ 2026-06-10)","Online dao.umb.com/sbla (15-20 min, 2-3 day decision) or branch/RM (VERIFIED 2026-06-10)",UNKNOWN,UNKNOWN,Gold (self-UW + online app + CA charter presence; SoCal = remote-only),HIGH issuer/app; LOW limits,2026-06-10; HTLF close 2025-01-31,https://www.umb.com/business-banking/business-credit-cards; https://www.umb.com/business-banking/why-umb/industry-expertise/cobrand-credit-cards; https://www.sec.gov/Archives/edgar/data/0000101382/000119312525018885/d827883dex991.htm
FNBO (First National Bank of Omaha),CERT 5452,National direct issuer + agent-program operator,"Omaha, NE",YES — true online-national; no CA branches needed (VERIFIED fnbo.com online app 2026-06-10),YES — biz cards (no biz LOC marketed to non-customers),Evergreen Business Edition Mastercard (current flagship); Business Edition Secured Mastercard; legacy Business Edition Visa via agent portals (card.fnbo.com),SELF — 'Cards are issued by First National Bank of Omaha (FNBO)' (VERIFIED fnbo.com/small-business/credit-cards 2026-06-10),"$50,000 MAX stated on site (VERIFIED 2026-06-10: 'Maximum Credit Limit is $50,000'). DPs: $7.1K instant approval; $13.9K pre-qual=approved at $13.9K; $15K pre-qual common (COMMUNITY-DP myFICO #6403479, #6332103, #6690470; accessed 2026-06-10). Secured tier: self-set $2K-$10K deposit","MODERATE — standard short online app, PG, no tax returns; pre-qual tool = soft pull (COMMUNITY-DP myFICO)",Online national (fnbo.com Apply Now; pre-qual available),UNKNOWN,"Does NOT report to personal bureaus except negatives — reports D&B + Experian Business (COMMUNITY-DP: DoC which-business-cards-report list + myFICO #6458865, accessed 2026-06-10). CLI: small=soft / large=hard, reps disclose which (COMMUNITY-DP DoC CLI list); 1 instant-HP CLI DP exists (myFICO #6695146) — ask first. Inquiry-sensitive; no same-day pull combining",Diamond ($50K ceiling + online-national + self-UW + personal-bureau-quiet),HIGH on $50K/self/online; MED on CLI soft-pull (mixed DPs),site 2026-06-10; DPs 2023-2025 threads accessed 2026-06-10,https://www.fnbo.com/small-business/credit-cards; https://ficoforums.myfico.com/t5/Business-Credit/Evergreen-FNBO-Business-Edition-Approval-w-Data-Points/td-p/6403479; https://www.doctorofcredit.com/which-business-credit-cards-report/; https://ficoforums.myfico.com/t5/Business-Credit/FNBO-Biz-card-report-to-personal/td-p/6458865
Ramp,Issuer: Celtic Bank (Ramp Visa Corporate Card) + Sutton Bank (Ramp Visa Commercial Card),Fintech charge card / spend mgmt,"New York, NY",YES — online-national fintech; CA businesses fine (registered entities only),YES — corporate CHARGE card (pay-in-full; no revolving LOC),Ramp Visa Corporate/Commercial Card + Ramp Flex (B2B financing); free spend-mgmt software,"Celtic Bank + Sutton Bank per Ramp issuing-bank schedule (VERIFIED ramp.com/legal/issuing-bank-schedule exists, content JS-gated; corroborated NerdWallet + Airwallex reviews 2026, accessed 2026-06-10)",Dynamic = % of linked cash; need >=$25K in a US business bank account to qualify; limits scale with balance (VERIFIED ramp.com + NerdWallet 2026-06-10). No fixed published max,"STRONG — EIN-only, NO PG, NO personal credit check; underwriting = live bank-balance link (Plaid), not documents (VERIFIED ramp.com / NerdWallet / LendingTree 2026-06-10). Sole props/freelancers EXCLUDED (LLC/C-corp/S-corp/LP only)",Online (minutes); connect business bank account,N/A — no consumer deposit screening (UNKNOWN formal KYC vendors),"No personal bureau reporting (charge card, no PG); business reporting UNKNOWN/limited","Gold (EIN-only/no-PG track; charge-card daily/monthly payoff, not credit-building revolver)",HIGH,2026-06-10,https://ramp.com/legal/issuing-bank-schedule; https://www.nerdwallet.com/business/credit-cards/reviews/ramp-card; https://www.lendingtree.com/credit-cards/review/ramp-corporate/
BILL Spend & Expense (Divvy),Issuer: Cross River Bank + WEX Bank (WebBank named in some older material),Fintech charge card / spend mgmt (BILL Holdings),"San Jose, CA / Draper, UT (Divvy)",YES — online-national; CA businesses fine,YES — corporate charge card with assigned 'Budget' credit line,BILL Divvy Card + Spend & Expense software (free),"Cross River Bank + WEX Bank (VERIFIED crossriver.com Divvy case study + businesscreditworkshop review, accessed 2026-06-10)","$1K(-$500)-$5M stated range, scaled to revenue/cash (VERIFIED Nav + businesscreditworkshop 2026-06-10); ~$20K+ cash balance typical to approve (Nav)","MODERATE-STRONG — underwrites on revenue/cash-flow/bank-balance via Plaid/MX link, no tax docs; PG CONFLICTING: Nav 2026 'no PG required'; Merchant Maverick says PG now required for some/smaller applicants — treat as PG-possible (COMMUNITY-DP conflict, both accessed 2026-06-10)",Online (apply.divvy.co); link bank account,UNKNOWN,Reports to SBFE -> feeds D&B/Experian-biz/Equifax-biz (VERIFIED Nav 2026-06-10); no routine personal reporting,Gold (no-doc-ish; PG ambiguity needs a fresh DP before Platinum),MED-HIGH (PG conflict),2026-06-10,https://www.nav.com/business-credit-card/bill-divvy-review/; https://www.crossriver.com/divvy-case-study; https://www.businesscreditworkshop.me/articles/divvy-credit-card-review/; https://www.merchantmaverick.com/reviews/bill-divvy-card-review/
Sam's Club Business Mastercard,Issuer: Synchrony Bank,Retail co-brand biz card,"Issuer: Draper, UT (Synchrony)",YES — Sam's Club locations across LA/OC/IE; apply in-club or online,YES — biz credit card (Mastercard) + biz store card,"Sam's Club Business Mastercard (5% gas, 3% dining; $0 AF w/ membership) + private-label store card",Synchrony Bank (VERIFIED synchrony.com/partner/sams-club 2026-06-10),"DP: $8K SL instant approval NO-PG (COMMUNITY-DP myFICO #6701656 'NO PG Sams Club Business Mastercard Instant Approved 8k SL', thread accessed 2026-06-10 — page 403s to bots, title/summary via search). PG path ~700+ personal FICO (WalletHub)","STRONG for no-PG path: apply IN-CLUB and insist on EIN-only — Synchrony then checks BUSINESS credit only (needs established biz tradelines/revenue); ONLINE app forces PG + personal HP (VERIFIED truebuild.com + WalletHub + Nav, accessed 2026-06-10)",IN-CLUB kiosk/associate for EIN-only; online = PG route,"UNKNOWN (Synchrony = card issuer, no Chex relevance)","EIN-only path: business bureaus only, no personal pull/reporting (COMMUNITY-DP); PG path: personal HP (Synchrony, often TU — UNKNOWN/unverified this pass)",Platinum for the no-PG/EIN-only in-club angle; Gold otherwise,MED-HIGH (no-PG path is DP-backed but YMMV by associate/Synchrony discretion),"myFICO thread ~2024-2025, accessed 2026-06-10",https://ficoforums.myfico.com/t5/Business-Credit/NO-PG-Sams-Club-Business-Mastercard-Instant-Approved-8k-SL/td-p/6701656; https://info.truebuild.com/blog/sams-club-business-credit-card/; https://www.nav.com/blog/sams-club-business-credit-card/; https://wallethub.com/answers/cc/sams-club-business-credit-card-ein-application-2140779291/
Live Oak Bank,CERT 58665 (Live Oak Banking Company),Digital-only bank; #1 SBA 7(a) lender class,"Wilmington, NC",YES — branchless online-national; CA businesses fully served remotely,"NO biz credit card (VERIFIED NerdWallet 2026 review, accessed 2026-06-10). LOCs: YES but commercial/SBA-tied","Business checking + high-yield business savings/CDs; SBA 7(a)/504, USDA, term loans to $15M; lines of credit (custom, unpublished rates)",N/A card. Lending = self (Live Oak Banking Company),Loans to $15M (VERIFIED liveoak.bank/NerdWallet); LOC limits unpublished (UNKNOWN),"NONE — SBA/commercial underwriting = full-doc (financials, tax returns); no no-doc angle (VERIFIED reviews 2026-06-10)",Online + dedicated lender/RM call,UNKNOWN (deposit accts: Chex use unverified this pass),N/A card; SBA loans report per lender norms (UNKNOWN),"reference (deposit-home + SBA pipeline, NOT a card/no-doc target)",HIGH,2026-06-10,https://www.liveoak.bank/business/; https://www.nerdwallet.com/reviews/small-business/live-oak-business-bank-accounts; https://www.bankrate.com/loans/small-business/reviews/live-oak-bank/
Mercury (IO card),Issuer: Patriot Bank N.A.; deposits via Choice Financial Group + Column N.A. partner banks,Fintech banking + corporate charge card,"San Francisco, CA",YES — online-national fintech; CA businesses fine,YES — IO Mastercard corporate charge card (no LOC),Mercury business checking/savings (partner banks) + IO charge card (1.5% cashback class),"Patriot Bank, N.A., Member FDIC (VERIFIED mercury.com/legal/io-charge-card-agreement, accessed 2026-06-10)","Cash-underwritten: intro tier ~ up to $5K w/ DAILY autopay; $15K+ Mercury balance unlocks higher limits + monthly payment (VERIFIED mercury.com/support 'Qualifying for IO', accessed 2026-06-10). Limit floats with balance","STRONG — NO credit check, NO PG, 0 personal-credit impact; qualification = Mercury account balance, business-entity based (EIN) (VERIFIED mercury.com/credit + support docs 2026-06-10). Requires Mercury deposit account; sole props generally excluded (registered entities)","Online — open Mercury account, IO offered in-dashboard","Fintech KYC, no traditional Chex (COMMUNITY-DP/UNKNOWN formal)",No personal pull or personal reporting (VERIFIED); business bureau reporting UNKNOWN/likely none,Gold (easy no-PG charge line; limits hostage to deposits kept at Mercury),HIGH,2026-06-10,https://mercury.com/credit; https://mercury.com/legal/io-charge-card-agreement; https://support.mercury.com/hc/en-us/articles/28768794858772-Qualifying-for-IO
