Name,Type,Biz_card_or_LOC,Self_UW(+evidence),TIB_requirement,Doc_requirement,NoDoc_NoSeason_probability,Bureau(+grade),Chex_EWS,Membership_access,Apply_method,New_LLC_DPs,Source_links,Notes
Western Alliance Bank,Bank,"Yes - Business Plus Visa credit card + business lines of credit/Streamline","Self-UW (card issued by Western Alliance Bank itself per Visa license; not an agent)","Card: not stated on page (banker-contact, credit-approval only). BLOC 'Streamline' product = 2+ YEARS in business -> 2yr GATE (FAIL for that product)","Card: 'all offers of credit subject to credit approval' (no doc list published). Lending programs: PG required, financials/supporting docs 'may be required upon review'","LOW","Not published (relationship/banker-driven)","Unknown","Open (commercial bank, no membership) but must be registered in AZ/CA/NV; some business types excluded (contractors, used-vehicle dealers, nonprofits)","Banker contact form -> banker calls in 2-3 business days (no instant online app)","No new-LLC approval DPs found; product is relationship-oriented, financials likely required","https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card ; https://www.westernalliancebancorporation.com/small-business/small-business-loans (2026-06-30)","FLAG: Streamline BLOC has explicit 2yr TIB gate. Card path is banker-mediated, no self-serve instant decision; opaque docs. Relationship bank, not new-LLC friendly."
Poppy Bank,Bank,"Yes - business credit cards (low rate / cash back / rewards)","AGENT-issued: cards issued by Elan Financial Services (div. of U.S. Bank) per Visa/MC license, NOT self-UW","Not published by Poppy; Elan business card products generally have NO stated TIB minimum (consumer-credit-score driven) - NONE-STATED, treat as likely no hard TIB gate but unverified on own page","Elan business card apps are typically personal-credit-driven w/ PG, no tax returns required (NO-DOC consistent w/ Elan standard)","MED","Elan typically pulls personal bureau (EX/EQ/TU varies); not Poppy-specific","N/A (card, not deposit acct)","Open (CA commercial bank, no membership requirement)","Via Poppy site -> Elan online card application","Elan agent cards are among the more new-business-accessible (personal-credit-based); plausible for new LLC w/ strong personal credit","https://www.poppy.bank/business-checking-accounts/ ; https://www.elanfinancialservices.com/credit-card/what-we-offer/product-suites/business-products.html (2026-06-30)","Elan = agent issuer for 1,300+ FIs. Card decisioning is personal-credit based; new LLC often OK if owner credit strong. NoDoc favorable; seasoning generally not a hard gate for Elan business cards."
Commercial Bank of California,Bank,"Business lines of credit (working capital, asset-based, formula/AR lines); no consumer-style business credit CARD product found","Self-UW (commercial lender, relationship-based; not an agent issuer)","Not published; commercial working-capital/asset-based lines underwritten on financials -> effectively expects operating history. NONE-STATED on page but new-LLC unrealistic","Working-capital and asset-based lines require financials/collateral; full-doc commercial underwriting (no no-doc path published)","NONE","Not published (commercial UW, business + PG)","N/A (card not offered; deposit acct would be ChexSystems-screened)","Open (commercial bank, no membership)","Relationship banker - 'call us today', lending specialist contact (no instant online app)","No new-LLC DPs; asset-based/working-capital lines need receivables/assets a brand-new LLC lacks","https://cbcal.com/business-lending/ (2026-06-30)","Asset-based / formula lines are full-doc and need existing revenue/AR. Not a no-doc/no-seasoning fit. NONE."
City National Bank,Bank,"Yes - Visa Commercial Credit Card (and Crystal Commercial); also business loans/lines","Self-UW (card issued directly by City National Bank; CERT 17281 = LA-based City National, an RBC bank). Not an agent","Not published on card page. Lending generally requires Business Lending Application + Personal Financial Statement -> full-doc relationship UW; new LLC unrealistic","HEAVY DOC: Business Lending Application Form, Personal Financial Statement, Single Name Aggregate Exposure Report; 'additional info may be required'","LOW","Not published (bank-direct UW, PG + PFS)","Unknown (deposit accts ChexSystems-screened)","Open (commercial bank, no membership) - but premium/relationship-oriented (CNB = wealth/RBC)","Online new-account/card ordering for existing clients; new applicants via bank rep contact form","No new-LLC DPs; bank targets established businesses & wealth clients, requires PFS","https://www.cnb.com/business-banking/lending/credit-cards/commercial.html ; https://www.cnb.com/business-banking/lending/credit-cards.html (2026-06-30)","Name-twin note: CERT 17281 is City National Bank (Los Angeles / RBC), the cnb.com entity with Oakland/Pleasanton branches - NOT WV-based City National Bank (cnbank.com) nor bankatcity.com. PFS-required = not no-doc."
Metropolitan Bank,Bank,"Business credit card (link on site; issuer/agent undisclosed on page) + business lines of credit / working capital / letters of credit","Lending self-UW (personal banker, relationship). Card likely agent-issued (Elan-type) but issuer not stated on page","Not published; lines/working capital are banker-underwritten (expects operating business). NONE-STATED but new-LLC unlikely for lines","Lines/working capital: banker-underwritten, financials expected (no published no-doc path). Card: not detailed","LOW","Not published","Unknown (deposit accts ChexSystems-screened)","Open (Oakland Chinatown community bank since 1983; serves local small business). No membership","Personal banker contact; business credit card via application link","No new-LLC DPs found. Community-bank lines still relationship/financials based; card path (if Elan-type) could be personal-credit driven but unconfirmed","https://www.met.bank/ ; https://www.met.bank/lending/business-lending/ ; FDIC CERT 25869 https://banks.data.fdic.gov/bankfind-suite/bankfind/details/25869 (2026-06-30)","Small Oakland community bank. Card issuer not disclosed; if agent-issued, decisioning may favor new biz w/ good personal credit, but unverified. Lines are banker/financials based -> LOW overall."
Westamerica Bank,Bank,"Yes - business credit card (Elan); plus revolving/non-revolving operating lines of credit (secured & unsecured)","AGENT: business credit card issued by Elan Financial Services (creditor/issuer per Visa license), NOT self-UW. Operating lines = bank self-UW","Card: no published TIB on Westamerica page; Elan business cards generally NO stated TIB minimum (personal-credit driven) - NONE-STATED. Lines: banker-underwritten, history expected","Card (Elan): personal-credit-driven w/ PG, no tax returns typical (NO-DOC consistent). Lines: financials expected","MED","Elan business card pulls personal bureau (EX/EQ/TU varies)","N/A for card","Open (CA community bank, no membership)","Business card via Westamerica/Elan online application; lines via business banker","Elan agent card = more new-business-accessible (personal credit based); plausible for new LLC w/ strong owner credit. Lines not new-LLC friendly","https://www.westamerica.com/credit-card-application/ ; https://www.westamerica.com/business/loans-and-credit/ ; Elan business product suite https://www.elanfinancialservices.com/credit-card/what-we-offer/product-suites/business-products.html (2026-06-30)","Card = Elan agent issuer (same favorable no-doc/no-seasoning profile as Poppy). Westamerica's own lines are full-doc/relationship. MED on card path."
First Federal Savings and Loan Association of San Rafael,Bank,"Yes - business credit cards (via Elan, link to myaccountaccess.com) + business checking; equity/real-estate lines of credit","AGENT: business card issued by Elan (myaccountaccess.com URL/theme) - NOT self-UW. Real-estate lines = self-UW","Card: no published TIB (Elan business cards generally NO stated TIB) - NONE-STATED. Lines are RE/equity-secured","Card (Elan): personal-credit driven, no tax returns typical (NO-DOC). RE lines: collateral/financials","MED","Elan business card pulls personal bureau (EX/EQ/TU varies)","N/A for card","Open (CA mutual thrift, 'CA's last mutual'; no membership requirement)","Business card via Elan online application link on ffsavings.com; loans via loan dept (loans@ffsavings.com)","Elan agent card = new-business-accessible (personal credit). Thrift's own credit is RE/equity oriented, not a clean unsecured-LOC-for-new-LLC path","https://ffsavings.com/ ; FDIC CERT 31406 https://banks.data.fdic.gov/bankfind-suite/bankfind/details/31406 (2026-06-30)","Mutual savings/thrift, Oakland branch + Marin/SF. Card = Elan -> MED no-doc/no-seasoning. Real-estate-heavy lender otherwise."
COMMUNITYAMERICA,CU,"Yes - Business Visa Rewards credit card (unlimited 1% cash back, no annual fee) + Business Line of Credit","Business LOC via dedicated Relationship Manager (self-UW, relationship). Card issuer not disclosed on page (CU business Visa - likely self/CU-processor)","Not published; card page states no TIB/doc reqs. BLOC is relationship-manager underwritten (history expected). NONE-STATED on card","Card: no doc list published. BLOC: relationship/financials","LOW","Not published","N/A for card; deposit accts likely ChexSystems","GATED - Kansas City CU. Eligibility: live/work in select KS (Douglas/Jackson/Jefferson/Johnson/Leavenworth/Miami/Shawnee/Wyandotte) or MO (Clay/Cass/Platte/St.Louis) counties; OR family of member; OR employee of 1,100+ partner cos; OR join 'Friends of Hobbs' nonprofit (location-agnostic backdoor SEG)","Online membership join then apply; business via Relationship Manager (800.892.7957)","No new-LLC DPs; BLOC is relationship-manager based. Card terms unspecified for new biz","https://www.communityamerica.com/business/finance/loans-and-credit-cards/business-credit-cards ; https://www.communityamerica.com/why-communityamerica/become-a-member (2026-06-30)","NAME-TWIN/GEO NOTE: CommunityAmerica CU is a Kansas City (KS/MO) institution - the 'Oakland' tag in source data is a likely SoD/data artifact (no real Oakland CA branch). Membership GATED to KC area, but 'Friends of Hobbs' donation path lets an out-of-area Oakland resident join. Business credit still relationship-based -> LOW."
NUVISION,CU,"Yes - Business Visa Rewards card (1 pt/$1, no annual fee, additional team cards); business loans by phone","Card issuer not disclosed on page (CU business Visa). Self/CU-processor likely; business loans via Business Specialist (self-UW)","NONE STATED on business card page (no TIB minimum, no doc list published) - favorable, but not VERIFIED as explicit '0 years'","Card page lists no documentation requirement; download app + return to Business Member Rep, or apply online","MED","Not published (CU business card; personal bureau likely pulled w/ PG)","Deposit accts likely ChexSystems-screened; card N/A","OPEN (effectively anyone) - geo SoCal counties (LA/Orange/SD/Ventura/SB) OR Boeing/SEGs OR FAMILY OR join American Consumer Council (ACC) for $5 (no military needed) -> ACC = open backdoor for any Oakland resident","Online application ('CLICK HERE TO APPLY') or download/fax/branch; 800.444.6327","No explicit new-LLC DPs, but no TIB gate stated + online business card app = plausible for new LLC w/ strong owner credit","https://nuvisionfederal.com/business-banking/credit-cards ; https://nuvisionfederal.com/about-us/am-i-eligible (2026-06-30)","OPENLY JOINABLE via ACC $5. Business Visa card has online app and no stated TIB/doc gate. One of the better no-doc/no-seasoning candidates in this batch. MED (issuer/UW unverified)."
F3,CU,"No business credit card or business LOC found - product set is consumer (checking, secured VISA, auto/home loans, CDs)","N/A - no business credit product identified","N/A (no business credit product)","N/A","NONE","N/A","Deposit accts ChexSystems-screened (CU)","GATED (occupational SEG) - US Postal Service or Civil Service employees/retirees in specific Bay Area counties (incl. Alameda), plus spouses/relatives of members. Not open to general public","Branch / online for eligible members ($50 share + $5 fee)","No new-LLC DPs; no business credit product and membership gated","https://www.f3creditunion.com/why-join-f3cu/ ; https://www.f3creditunion.com/ ; CreditUnions.org charter 64835 https://creditunions.org/c/f3-credit-union-64835 (2026-06-30)","Formerly postal/civil-service CU (since 1931), Oakland branch. GATED occupational FOM + no business credit card/LOC -> NONE for this use case."
