Bank,Card_issuer_rail(TCM/Elan/Apex/self/no-card/unknown),Evidence(domain/quote),Biz_card_products,TCM_or_agent_TIB_gate,TCM_or_agent_doc_req,Bureau_pulled(+grade),NoDoc_NoSeason_fit(HIGH/MED/LOW),Source_links,Notes
Summit Bank (Oakland/Emeryville),TIB (not TCM),"Servicing portal www.cardaccount.net; application & disclosure name issuer ""TIB The Independent BankersBank, N.A."" Box 569120 Dallas TX. Products ""Standard Card / Preferred Points Card"".","Standard Card (no annual fee); Preferred Points Card ($49/yr) Mastercard/Visa Business","No explicit minimum, but app collects ""Number of years current management has operated business"" (soft gate)","HARD-DOC: app states ""IMPORTANT! THE FOLLOWING INFORMATION MUST ACCOMPANY APPLICATION: CURRENT YEAR END FINANCIAL STATEMENTS INCLUDING BALANCE SHEET AND INCOME STATEMENT"" + articles/resolution; guarantor must furnish financials annually","Personal guaranty mandatory; bureau not stated on app (TIB program) — likely Experian/personal","LOW","https://www.summitbanking.com/business/loans/credit-cards/ ; https://www.summitbanking.com/wp-content/uploads/2019/08/Business-Credit-Card-Application.pdf ; https://www.cardaccount.net/privacy","CORRECTION: prior tag ""TCM"" was wrong. cardaccount.net = TIB rail (TIB privacy notice at cardaccount.net/privacy). Summit = TIB, an ICBA-ecosystem bankers' bank distinct from TCM Bank. Mandatory upfront financials make this LOW for a no-doc applicant. summitbanking.com is the Oakland bank (CERT 23864); sbko.bank is an unrelated Oregon bank."
United Business Bank (BayCom),unknown (most likely TIB; not Elan),"Marketing page describes a single generic ""Credit Card""; no product names, no apply link, no issuer disclosure exposed publicly. NOT present in Elan agent index (creditcardlearnmore.com) where Mechanics/Westamerica/First Federal appear. No Elan ""Real Rewards"" footprint anywhere for UBB.","Single unnamed ""Credit Card"" (purchasing power / employee expense tracking)","Unknown — not disclosed online","Unknown — not disclosed online","Unknown","LOW-to-unknown","https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html ; https://www.unitedbusinessbank.com/online-banking.html","CONFLICT RESOLVED: the ""Standard/Preferred Points"" screen = TIB product language (identical to Summit's TIB lineup), NOT Elan and NOT TCM-branded products. The ""Elan"" screen was almost certainly a generic Elan login/marketing page surfaced by search, not UBB's actual rail. UBB shows ZERO Elan agent-index/Real-Rewards footprint. Best evidence points to TIB (cardaccount.net family). Definitive issuer not publicly confirmable; verify by calling 855-476-2265 or requesting the app. Either way NOT a clean Elan no-doc card."
Metropolitan Bank (Oakland),TCM,"Business credit card apply link routes to www.mycommunitycc.com/FROlvrV1uR72 (TCM portal).","TCM Business Edition / Business Rewards / Business Cash Rewards family (Visa Business)","Collects self-reported ""Number of Years in Business"" but NO stated minimum/seasoning; ""Only qualified individuals at least 18 years old may be approved.""","NO-DOC to apply: TCM app requires only self-reported revenue/employees + a corporate authorizing document; financial statements only ""upon request"" and only for lines >= $25,000","Experian (personal) — grade B (multiple corroborating sources, no bank-published confirmation)","HIGH","https://www.met.bank/ ; https://www.mycommunitycc.com/FROlvrV1uR72 ; https://tcmbank.close.mkdecision.com/ccos/content/ApplyByMail.pdf (TCM Business Edition app, dated 06/30/2026)","Confirmed genuine TCM (mycommunitycc.com = TCM rail, distinct from cardaccount.net = TIB). This is the cleanest TCM card in the county census."
California Pacific Bank (Hayward/SF),no-card,"calpacificbank.com homepage/products list loans, mobile banking, wire, check ordering — no credit card product mentioned.","None","n/a","n/a","n/a","n/a","https://www.calpacificbank.com/","CERT 23242. Note: cpb.bank is a DIFFERENT bank (Central Pacific Bank, Hawaii) and is irrelevant here."
Mechanics Bank,Elan,"Issuer disclosure ""The creditor and issuer of these cards is Elan Financial Services""; Elan agent index creditcardlearnmore.com/11t3/index; servicing myaccountaccess.com.","Elan business suite (Visa/Mastercard Business Real Rewards, etc.)","Elan: no relationship/seasoning required to apply","Elan app-only under $25K; financials only for CLI >$25K","TransUnion (Elan typical) — grade B","n/a (Elan, not TCM)","https://www.mymechanics.com/business/loans-credit/business-credit-cards/ ; https://creditcardlearnmore.com/11t3/index","Elan confirmed. Re-confirm of prior Elan call: CORRECT."
Poppy Bank,Elan,"Cards issued by Elan Financial Services; Real Rewards; servicing myaccountaccess.com.","Elan business suite (Real Rewards / low rate / cash back)","Elan: no seasoning to apply","Elan app-only under $25K","TransUnion (Elan typical) — grade B","n/a","https://www.poppy.bank/business-checking-accounts/ ; https://card.myaccountaccess.com/credit/visa-business-real-rewards.do","Elan confirmed. Prior Elan call CORRECT."
Bank of Marin,Elan,"Explicit page quote: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc."" (and Mastercard); login myaccountaccess.com (theme=elan2).","Elan business suite (low rate / cash back / flexible rewards)","Elan: no seasoning to apply","Elan app-only under $25K","TransUnion (Elan typical) — grade B","n/a","https://www.bankofmarin.com/products-and-services/credit-cards/","Elan confirmed (explicit issuer disclosure). Prior Elan call CORRECT."
Cathay Bank,Elan,"Page quote: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""","Elan business suite incl. Smart Business Rewards Mastercard","Elan: no seasoning to apply","Elan app-only under $25K","TransUnion (Elan typical) — grade B","n/a","https://www.cathaybank.com/business/credit-cards","Elan confirmed. Prior Elan call CORRECT."
East West Bank,Elan,"""East West Bank's Visa credit card is issued by Elan Financial Services""; servicing myaccountaccess.com.","Elan business/consumer suite","Elan: no seasoning to apply","Elan app-only under $25K","TransUnion (Elan typical) — grade B","n/a","https://card.myaccountaccess.com/credit/business-card-help.do ; (East West card page, Elan-serviced)","Elan confirmed. Prior Elan call CORRECT."
Westamerica Bank,Elan,"Card application at westamerica.com/credit-card-application; Elan agent index creditcardlearnmore.com/11t3/index; issuer Elan Financial Services.","Elan business/consumer suite","Elan: no seasoning to apply","Elan app-only under $25K","TransUnion (Elan typical) — grade B","n/a","https://www.westamerica.com/credit-card-application/ ; https://creditcardlearnmore.com/11t3/index","Elan confirmed. Prior Elan call CORRECT."
