Bank,CERT,City,Deposits_$K,Previous_label,FINAL_rail,Deciding_evidence,Confidence,Application_link,Source_links
FORTE BANK,5297,Hartford,346227,OTHER-BankersBank/Fiserv,BankersBank,"FIRST-PARTY DISCLOSURE on bank's own page: ""The creditor and issuer of these credit cards is Bankers' Bank, pursuant to a license from Visa U.S.A. Inc. in association with Forte Bank."" Same page: ""Are you an existing Bankers' Bank credit card customer?"", customer service 800-423-7503, MyCardStatement.com, scorecardrewards.com. Linked BB page: ""Credit cards are issued by Bankers' Bank, Madison WI."" Apply host lp.applycommunitycard.com = CreditSnap tenant institutionId 2471 (NOT TCM).",HIGH,https://lp.applycommunitycard.com/?merchantId=S7UOISX643,https://www.fortebankwi.com/business-credit-cards.html | https://cardmarketing.bankersbankusa.com/cards/113
Ergo Bank,10004,Markesan,221684,OTHER-BankersBank,BankersBank,"FIRST-PARTY DISCLOSURE on bank's own page: ""The creditor and issuer of these credit cards is Bankers' Bank, pursuant to a license from VISA U.S.A. Inc. in association with Ergo Bank."" Also verbatim: ""Credit cards are issued by Bankers' Bank, Madison WI."" plus ""Customer Support: 800-423-7503"". Apply host = CreditSnap tenant 2471 (NOT TCM).",HIGH,https://lp.applycommunitycard.com/card-detail/BCC/VISA_PLATINUM_BUSINESS_REWARDS?merchantId=0L9F4CZNHG,https://ergobank.com/credit-cards.html
Capitol Bank,34074,Madison,497652,SELF,BankersBank,"RECLASSIFIED from SELF. Own pages state: ""Through our partnership with Bankers' Bank, we offer three distinct VISA business credit card plans"" and name the ""Community BankCard Department at Bankers' Bank ... 1-877-636-7244"" plus ""contact FIS (Fidelity Information Services), our processor ... Customer Service: 1-800-423-7503"". Bank is an agent of Bankers' Bank, not the issuer; apply host = CreditSnap tenant 2471.",HIGH,https://lp.applycommunitycard.com/?merchantId=S83GDKD32O,https://capitol.bank/business-credit-cards.html | https://capitol.bank/credit-cards.html
First National Community Bank (FNC Bank),5357,New Richmond,304143,TCM,BankersBank,"FLIPPED from TCM. Deciding evidence is first-party infrastructure naming: FNC's own cardholder portal fncbank.yourcommunitycard.com ships Next.js runtimeConfig ""apiUrl"":""https://bankersbank.close.mkdecision.com"" - Bankers' Bank's own MK Decision CCOS tenant (MK Decision is the vendor Bankers' Bank publicly announced for ""Credit Card Origination System (CCOS)""). Its apply host lp.applycommunitycard.com resolves in the shipped CreditSnap routing table to institutionId ""2471"", explicitly NOT ""TCM"". The prior TCM call rested on byte-identical HTML/JS, which is a shared multi-tenant CreditSnap build. No issuer disclosure on FNC's own site.",MEDIUM-HIGH,https://lp.applycommunitycard.com/?merchantId=O4PKTIBOWB,https://www.fnc.bank/business/borrow/business-credit-cards | https://fncbank.yourcommunitycard.com/
Farmers Savings Bank,13025,Mineral Point,405960,OTHER-BankersBank,BankersBank,"Own page names the issuer's servicing desk directly: ""Bankers Bank Credit Card support call 877-636-7244 or email BBCards@bankersbank.com"". Apply host = CreditSnap tenant 2471 (NOT TCM); cardholder site mycardstatement.com. Legacy Elan servicing link present for run-off cards only.",HIGH,https://lp.applycommunitycard.com/?merchantId=IR0TEJN4YN,https://www.farmerssavings.com/personal/credit-cards
West Pointe Bank,34162,Oshkosh,266044,OTHER-BankersBank,BankersBank,"Upgraded from INFERRED. Own business-card page's only card portal is westptebank.yourcommunitycard.com, whose shipped runtimeConfig is ""apiUrl"":""https://bankersbank.close.mkdecision.com"" - first-party evidence of Bankers' Bank's MK Decision CCOS tenant. No TCM artifact anywhere. No issuer disclosure on West Pointe's own page.",MEDIUM-HIGH,https://westptebank.yourcommunitycard.com/,https://www.westptebank.com/business/business-visa-credit-cards
Citizens State Bank,2467,Cadott,194657,OTHER-BankersBank,BankersBank,"Own business page links both csbankcadott.yourcommunitycard.com (runtimeConfig ""apiUrl"":""https://bankersbank.close.mkdecision.com"") and lp.applycommunitycard.com?merchantId=S8R27L4W4U (CreditSnap tenant 2471, not TCM). Both rails resolve to Bankers' Bank infrastructure. No issuer disclosure on the bank's own page.",MEDIUM-HIGH,https://lp.applycommunitycard.com/?merchantId=S8R27L4W4U,https://www.csbankcadott.com/business.phtml | https://csbankcadott.yourcommunitycard.com/
Mayville Savings Bank,30585,Mayville,66988,OTHER-BankersBank/Fiserv,BankersBank,"Own credit-cards page carries the Bankers' Bank/FIS servicing stack: ""call 1-800-423-7503"" and ""access your credit card account at www.MyCardStatement.com"". Apply host = CreditSnap tenant 2471 (NOT TCM). TCM's discriminators (800-883-0131, cRewardsCard.com) absent. No explicit issuer disclosure on own page.",MEDIUM-HIGH,https://lp.applycommunitycard.com/?merchantId=WGA94MG1AV,https://www.mayvillesavings.com/credit-cards.html
The Peoples Community Bank,15046,Mazomanie,344681,SELF,BankersBank,"RECLASSIFIED from SELF. Apply links go to onlineapps.bankersbankusa.com - Bankers' Bank's own domain; that app's footer reads ""(c) <year> Bankers' Bank"" and it loads the module app/widget-form/models/agent-bank.js, i.e. Bankers' Bank's agent-bank program. Rewards via scorecardrewards.com. NOTE: personal cards only - no business credit card product advertised.",MEDIUM-HIGH,https://onlineapps.bankersbankusa.com/#!/w/GRL8N76GZQ (personal; no business card app),https://www.thepcb.bank/personal/credit-cards
The Bank of New Glarus,10378,New Glarus,644021,NO-CARD,BankersBank (personal-card-only),"PERSONAL CARDS ONLY - no business credit card product, so no change to business-card coverage. Rail for its personal cards is Bankers' Bank: apply at lp.applycommunitycard.com?merchantId=9BP85UKLLC (CreditSnap tenant 2471) and portal thebankofnewglarus.yourcommunitycard.com with runtimeConfig ""apiUrl"":""https://bankersbank.close.mkdecision.com"". Definitively NOT TCM.",MEDIUM-HIGH,https://lp.applycommunitycard.com/?merchantId=9BP85UKLLC (personal only),https://www.thebankofnewglarus.bank/personal/credit-cards | https://thebankofnewglarus.yourcommunitycard.com/
