Institution,CFPB_status,Corroboration_note,PG_policy(+source),CLI_policy(+source),Material_flags,Source_links,Date
"Bank of America, National Association",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.","PG YES — ""requires a personal guarantee... you are personally liable for any debts the business cannot pay"" (WalletHub/Ramp summarizing BofA app T&C; prior session: PG via SSN, no tax returns). [2026-06-12]","CLI: soft pull — ""As of May 2018 Bank of America no longer does a hard pull for credit limit increases"" (Doctor of Credit; some conflicting reports). [2026-06-12]",SBFE signal: BofA provides D&B SBFE-based scores via Business Advantage 360. https://business.bankofamerica.com/en/resources/credit-score-basics-for-small-businesses,https://www.consumerfinance.gov/credit-cards/agreements/; https://wallethub.com/answers/cc/what-credit-bureau-does-bank-of-america-unlimited-cash-rewards-business-card-use-1000625-2140874630/; https://www.doctorofcredit.com/credit-cards/which-credit-card-companies-do-a-hard-pull-for-a-credit-limit-increase/,2026-06-12
U.S. Bank National Association,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG YES — app collects SSN/DOB/personal income; hard pull on personal report (NerdWallet/CNBC/DoC). [2026-06-12],"CLI: self-service online CLI soft per DoC (<$1,499 soft, >=$1,500 hard per older data; newer DoC post: no longer hard pull via online link); myFICO DPs on Business Triple Cash: revenue-only instant CLI = soft; manual underwriting may hard-pull. [2026-06-12]",,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.doctorofcredit.com/u-s-bank-no-longer-hard-pull-credit-limit-increases/; https://ficoforums.myfico.com/t5/Business-Credit/Approved-U-S-Bank-Business-Triple-Cash-Rewards-10K-SL-Data-Point/td-p/6845780,2026-06-12
First-Citizens Bank & Trust Company,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact (listed as FIRST-CITIZENS BANK & TRUST COMPANY).","PG YES — ""In most cases, a personal guarantee will be required for approval""; all owners with significant ownership are credit-pulled at application (Ramp summary of FCB terms). [2026-06-12]",CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.firstcitizens.com/small-business/credit-financing/credit-cards; https://ramp.com/blog/chase-business-credit-card-requirements,2026-06-12
CATHAY BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
"Zions Bancorporation, N.A.",PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG not published verbatim on AmaZing business card pages (only legacy rewards T&C PDF surfaced). [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.zionsbank.com/business/business-credit-cards/,2026-06-12
REDWOOD CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG not stated verbatim; app requires current business income statement + business federal tax returns AND personal credit review (Business Visa Platinum page) — doc-heavier than peers. [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.redwoodcu.org/business/cards/business-visa-platinum/,2026-06-12
LOGIX FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG inferred (prior session); not published verbatim. [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.logixbanking.com/,2026-06-12
Umpqua Bank,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,NAME STALE: legal name changed to Columbia Bank 7/1/2025; brand unified 9/1/2025 (Columbia also closed Pacific Premier acquisition 9/1/2025). https://www.columbiabank.com/globalassets/media/documents/columbia_bank_dba_umpqua_bank.pdf,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
KINECTA FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG not published live. [2026-06-12],CLI: not published.,Kinecta+NuVision NCUA merger application filed (announced March 2024); BOTH parties are in this 101; no completion/withdrawal announcement found live 2026-06-12 — status unresolved. https://www.prnewswire.com/news-releases/kinecta-federal-credit-union-and-nuvision-federal-credit-union-file-merger-application-with-ncua-123256923.html,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.kinecta.org/,2026-06-12
Enterprise Bank & Trust,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",PG not published live. [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.enterprisebank.com/business/credit-cards,2026-06-12
