Tier,Institution,Type,Alameda locations,Biz card / LOC,Issuer (self/agent),Time-in-biz req (no-seasoning),Doc req (no-doc),Bureau (hard pull),Chex/EWS,Membership access,Apply,New-LLC DPs,Website / source
HIGH,PROVIDENT,CU,Alameda; Dublin; Fremont; Hayward; Oakland,YES - Business Rewards Visa + Business S,Self-issued (Provident CU issues its own Visa cards; NO Elan,none-stated (no published TIB requirement on ,unknown->likely app-only (online 'Apply' for ,unknown (likely SSN/EIN soft+hard; not d,likely Chex/EWS to open membership share,,Online Apply (business credit ,None found (small-CU; expected),https://providentcu.org/business/business-credit-cards
HIGH,UNCLE,CU,LIVERMORE; PLEASANTON,YES - Business Rewards Mastercard ($500-,Self/CU-issued Business Mastercard; online self-serve 'Apply,none-stated (NO time-in-business requirement ,unknown->likely app-only (online application ,unknown (likely personal-guarantor hard ,likely Chex/EWS to open membership share,,Online Apply Now (loan portal),None found (small-CU; expected),https://www.unclecu.org/business-credit-card/
MED,BLUPEAK,CU,Berkeley,Business credit cards (low rate/cash bac,Agent-issued: Elan is creditor/issuer (own-site /credit-card,Card (Elan): NONE required - Elan prefers 2yr,Card: no-doc + PG + personal credit (Elan sta,Elan: personal bureau (TU/EX/EQ randomly,Chex/EWS on membership/deposit opening,OPEN - live/work/worship in Alameda,Online via Elan portal after m,"Join CU (open), then apply Elan biz card; no TIB gate, perso",https://www.blupeak.com/credit-cards/
MED,BMO Bank National Association,Bank,Berkeley; Castro Valley; Dublin; Emeryville; ,Self-issued BMO business credit cards (B,Self-UW: BMO is its own issuer (not agent). myFICO DP 7/2024,None stated as hard gate on application; new/,Card: light - ID scan + EIN confirmation lett,"TransUnion pulled (myFICO 7/2024, scores",Not card-relevant,Open - any US business owner can ap,Online + branch (5 Alameda Co ,"DP: TX sole prop approved $7.5k w/ no prior relationship, EI",https://www.bmo.com/en-us/main/business-banking/credit-cards/
MED,Bank of Marin,Bank,Alameda; Oakland,Business credit cards (low rate / cash b,Agent-issued: Elan Financial Services is creditor/issuer (ow,Cards (Elan): NONE required - Elan prefers 2y,Card: no-doc/PG + personal credit + D&B/banki,Elan: personal bureau pulled (TU/EX/EQ r,Not card-relevant,Open - any business owner can apply,Online/branch via Elan portal ,New LLC can obtain Elan card; decisioned on personal credit ,https://www.bankofmarin.com/products-and-services/credit-cards/
MEDIUM,CITIZENS EQUITY FIRST,CU,Fremont,YES - Business Credit Mastercard ('busin,Self/CU-issued Business Mastercard but routed through Busine,none-stated (no published TIB; 'businesses of,unknown (card page lists no doc requirement; ,unknown,unknown (CU - likely Chex/EWS on deposit,,Contact Business Loan Officer ,None found,https://www.cefcu.com/business/borrow/credit-cards.html
MED,Cathay Bank,Bank,Dublin; Fremont; Oakland; Union City,Yes - business Mastercard credit cards,Agent-issued by Elan Financial Services (page states 'credit,None stated as hard min - Elan prefers 2yr bu,App-only / personal guarantee; no tax returns,Personal bureaus - Elan pulls TU/EX/EQ (,Not card-relevant,,Online apply link on Cathay bi,Same Elan program DPs: new LLC + strong PG credit approvable,https://www.cathaybank.com/business/credit-cards
MED,East West Bank,Bank,Fremont; Newark; Oakland; Pleasanton,Yes - business credit cards (One Card / ,Agent-issued by Elan Financial Services (not self-UW); East ,None stated as hard min - Elan prefers 2yr bu,App-only / personal guarantee; no tax returns,Personal bureaus - Elan randomly pulls T,Not card-relevant (Chex/EWS apply to dep,,Online/branch application via ,Elan DP: brand-new LLC + good personal credit approved $10k ,https://www.eastwestbank.com/en/small-mid-size-businesses/corporate-card
MED,Farmers & Merchants Bank of Central California,Bank,Oakland,Business credit cards (via Elan) + busin,Agent-issued: Elan is creditor/issuer (own-site/Lodi CERT 13,Card (Elan): NONE required - Elan prefers 2yr,Card: no-doc + PG + personal credit (Elan sta,Elan: personal bureau (TU/EX/EQ randomly,Not card-relevant,Open - any biz owner can apply for ,Online via Elan portal / branc,"New LLC can get Elan card; personal-credit + PG driven, no T",https://www.fmbonline.com/
MED,First Federal Savings and Loan Association of San Rafael,Bank,Oakland,"Yes - business credit cards (via Elan, l",AGENT: business card issued by Elan (myaccountaccess.com URL,Card: no published TIB (Elan business cards g,"Card (Elan): personal-credit driven, no tax r",Elan business card pulls personal bureau,N/A for card,"Open (CA mutual thrift, 'CA's last ",Business card via Elan online ,Elan agent card = new-business-accessible (personal credit).,https://ffsavings.com/
MEDIUM,Fremont Bank,Bank,Castro Valley; Dublin; Fremont; Hayward; Live,YES - 4 Business Platinum/World Elite Ma,Likely self/agent-branded (myapexcard.com app portal; not El,none-stated (no public TIB on card pages; LOC,unknown (no public doc list; card pages show ,unknown (likely personal-guarantee hard ,unknown,,Online (myapexcard.com) or bra,None found,https://www.fremontbank.com/business/credit
MED,KEYPOINT,CU,Dublin,Business credit cards + business loans +,Likely self-issued (own credit-card program; consumer Visa P,No TIB minimum stated on own biz card page (n,Light: 'information about yourself and your b,Personal credit pull (myFICO consumer DP,Chex/EWS on membership/business checking,OPEN - live/work/worship/school in ,Online portal / phone / branch,No TIB gate on biz card app; needs EIN + revenue figure. New,https://kpcu.com/business/lending/business-loans/business-credit-cards
MED,Mechanics Bank,Bank,Albany; Berkeley; Oakland,Biz credit cards (Visa/MC) + Small Biz L,Agent-issued: Elan Financial Services is creditor/issuer of ,Cards (Elan): NONE required - Elan PREFERS 2y,"Cards: no-doc for new biz, personal guarantee",Elan pulls personal bureau (TU/EX/EQ - r,Not card-relevant (Chex is deposit-side),Open - anyone with CA biz can apply,Online/branch apply via Elan p,New LLC can get Elan card with strong personal credit + PG; ,https://www.mymechanics.com/business/loans-credit/business-credit-cards/
MED,NUVISION,CU,Berkeley; Hayward; Pleasanton,Yes - Business Visa Rewards card (1 pt/$,Card issuer not disclosed on page (CU business Visa). Self/C,NONE STATED on business card page (no TIB min,Card page lists no documentation requirement;,Not published (CU business card; persona,Deposit accts likely ChexSystems-screene,OPEN (effectively anyone) - geo SoC,Online application ('CLICK HER,"No explicit new-LLC DPs, but no TIB gate stated + online bus",https://nuvisionfederal.com/business-banking/credit-cards
MED,Poppy Bank,Bank,Alameda; Fremont; Pleasanton,Yes - business credit cards (low rate / ,AGENT-issued: cards issued by Elan Financial Services (div. ,Not published by Poppy; Elan business card pr,Elan business card apps are typically persona,Elan typically pulls personal bureau (EX,"N/A (card, not deposit acct)","Open (CA commercial bank, no member",Via Poppy site -> Elan online ,Elan agent cards are among the more new-business-accessible ,https://www.poppy.bank/business-checking-accounts/
MED,SUNWARD,CU,Livermore,Business credit cards + business loans +,Issuer not confirmed on page; CU partners typically Elan/sel,No TIB minimum found on own business pages.,Not specified; CU business card likely PG + p,Personal credit pull (CU standard);,Chex/EWS on membership/business checking,OPEN - anyone via free American Con,Branch (Livermore) / online; A,New LLC can join via ACC then apply biz card; no TIB gate fo,https://gosunward.org/who-can-join/
MED,Summit Bank,Bank,Emeryville; Oakland,Yes - business credit cards (Standard + ,Agent-issued via third-party provider (TCM Bank N.A. pattern,None published on own page (UNVERIFIED) - TCM,App-only / personal guarantee for card; no ta,Personal bureau (TCM pulls personal cred,Not card-relevant,,Online Apply Now or print+brin,No Summit-specific new-LLC DP; TCM program approves new biz ,https://www.summitbanking.com/business/loans/credit-cards/
MED,TECHNOLOGY,CU,Dublin; Fremont,Yes - business Visa credit cards (Classi,Business cards via '3rd party affiliate' (CorServ-style CU c,None published on own pages (UNVERIFIED) - no,Account/card needs KYC docs: LLC articles of ,Personal bureau pull for card (PG); CU d,ChexSystems likely for business deposit ,,Online apply via 3rd-party aff,No specific new-LLC DP found; no published TIB gate is favor,https://www.techcu.com/Business/Accounts/Opening-a-Business-Account
MED,United Business Bank,Bank,Castro Valley; Livermore; Oakland; Pleasanton,Yes - business credit cards (Standard + ,Agent-issued via third-party provider (TCM Bank N.A. pattern,None published on own page (UNVERIFIED) - TCM,App-only / personal guarantee for card; LOC w,Personal bureau (TCM pulls personal cred,Not card-relevant,,Online Apply Now + branch (CA/,No UBB-specific new-LLC DP found; TCM program broadly approv,https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html
MED,Westamerica Bank,Bank,Pleasanton,Yes - business credit card (Elan); plus ,AGENT: business credit card issued by Elan Financial Service,Card: no published TIB on Westamerica page; E,"Card (Elan): personal-credit-driven w/ PG, no",Elan business card pulls personal bureau,N/A for card,"Open (CA community bank, no members",Business card via Westamerica/,Elan agent card = more new-business-accessible (personal cre,https://www.westamerica.com/credit-card-application/
MEDIUM,"Zions Bancorporation, N.A.",Bank,Albany; Fremont; Oakland,YES - AmaZing Rate / Cash / Commercial b,Self-issued (Zions Bancorporation N.A. is the card issuer/le,unknown - no public TIB on card pages or mark,unknown (online 'Apply Now'; doc list not dis,unknown (likely EX/TU/EQ hard pull w/ PG,unknown,,Online Apply Now or branch; in,Guide states 'If your business is new...issuer will review y,https://www.zionsbank.com/business/business-credit-cards/
LOW,1ST UNITED,CU,Alameda; Castro Valley; Fremont; Hayward; Liv,NO business credit card - only personal ,Personal cards self/Visa issued; no business card program,N/A - no business card product,N/A for card; business deposit needs entity d,Personal bureau for personal cards,ChexSystems likely for business checking,,Online 3-step apply (personal ,No business-card DP (product does not exist),https://www.1stunitedcu.org/loans-and-credit/product/credit-cards
LOW,BAY CITIES,CU,Hayward,Offers credit cards to members; no dedic,Likely self/Visa issued personal cards; no business card pro,N/A - no business card product found,N/A,Personal bureau for personal cards,ChexSystems likely for deposit,,Branch/phone (Hayward); SEG/em,No business-card DP,https://www.baycities.org/
