Rank,Institution,Type,City,Website,Deposits,Assets,Biz card?,Card link,0% intro,Terms,Underwriter,UW evidence,Apply,Apply link,Bureau (quick),No-doc (quick),ChexSystems,EWS,LexisNexis/SageStream,Other secondary,Live-check note,Sources,Screen date
1,"Bank of America, National Association",Out-of-state bank with CA branches (SOD),Charlotte,https://business.bankofamerica.com,422113884,2672192000,YES,https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,⭐ YES (intro APR on purchases offered; cycle count rendered dynamically on page — prior: 0% 7-9 cycles),"3 Business Advantage cards (Unlimited Cash 1.5%, Customized Cash 3%, Travel); $0 AF on all; $500/50K bonuses",SELF,Apply-now buttons go to BofA secure portal on bankofamerica.com; no agent-bank tells,Online,https://business.bankofamerica.com/en/credit-cards,Not visible on live pages (prior: Experian-dominant in CA),⭐ Not visible live (prior: PG yes via SSN; no tax returns for cards),"No — does not pull (DoC 2025-08-07, 9 DPs; comment 2026-03-06) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/)",Yes — pulls (EWS co-owner; DoC ×4 DPs) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911),Yes — uses SageStream 'Credit Optics' score data for CREDIT decisions (cards/loans); 'extremely unlikely to deny for frozen SageStream' unless thin traditional file [DOC-LIST; article 2016-08-08] (https://www.doctorofcredit.com/bank-america-now-uses-sagestream-credit-optics-score-data-credit-decisions/),UNKNOWN,LIVE-CONFIRMS-PRIOR,https://business.bankofamerica.com/en/credit-cards; https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,2026-06-11
2,"Wells Fargo Bank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,https://www.wellsfargo.com,299560094,1852239000,YES,https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,⭐ 0% 12 months (purchases),$0 AF; 2% unlimited cash rewards; 16.74-24.74% var after intro; $500 bonus @ $5K/3mo,SELF,Hosted on creditcards.wellsfargo.com; WF-issued Signify card; biz credit-cards index 301-redirects straight to Signify page (only new-app card),Online (also branch by appt),https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,Not visible,Not visible,"No — mostly (DoC 'mixed' 34-no vs 1-yes, 2025-08-07; DP 2026-04-14) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/)","Yes — pulls (EWS co-owner; BIZ app hits owner's EWS, DP 2019-01-12) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911)",UNKNOWN,UNKNOWN,LIVE-CONFIRMS (Signify only card for new apps; 0% 12 mo; $0 AF; 2%; live adds $500 SUB and APR band 16.74-24.74%),https://www.wellsfargo.com/biz/business-credit/credit-cards/ | https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,2026-06-11
3,"JPMorgan Chase Bank, National Association",Out-of-state bank with CA branches (SOD),Columbus,https://www.chase.com,287153152,4016571000,YES,https://creditcards.chase.com/business-credit-cards,⭐ Yes - 12 mo on purchases (Ink Unlimited & Ink Cash),Ink Unlimited/Cash $0 AF + 0% 12mo; Ink Preferred $95; Ink Premier $195,SELF,Chase is the issuer on its own chase.com domain; cards branded Ink by Chase,Online,https://creditcards.chase.com/business-credit-cards,—,—,No — does not pull (DoC list 2025-08-07; Chex-report DP 2026-04-14; biz also no-pull ×4) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes — pulls + reports (EWS co-owner; DPs 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911),UNKNOWN,UNKNOWN,Fresh screen (single pass; not in live re-verify set),https://creditcards.chase.com/business-credit-cards,2026-06-11
4,U.S. Bank National Association,Out-of-state bank with CA branches (SOD),Cincinnati,https://www.usbank.com,114337732,683379960,YES,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,⭐ 0% intro APR purchases+BT 12 billing cycles (Triple Cash & Business Shield),Triple Cash: $0 AF; 3% gas/EV(<=$200)/office supply/cell/restaurants; $100 software credit; BT fee 5% min $5,SELF,Footer: 'U.S. Bank National Association' issues pursuant to Visa/MC license; apply routes to onboarding.usbank.com,Online,https://www.usbank.com/business-banking/business-credit-cards.html,—,—,"Yes — pulls, incl. business (Chex-report DP 2025-05/2026-05-08; biz DP 2025-10-17, not sensitive) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/)",Yes — pulls (EWS co-owner; 'US Bank & Elan' inquiries DP 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911),Yes — soft-pulls SageStream (now LexisNexis Risk Solutions); can DENY on it; freeze before applying [COMMUNITY-DP/project-fact; 2026-06] (https://ficoforums.myfico.com/t5/Business-Credit/ (Triple Cash DPs; v7 funding table row 'U.S. Bank')),"ARS (Advanced Resolution Services, CBC/Innovis affiliate) — soft-pulled alongside SageStream; can deny [COMMUNITY-DP/project-fact; 2026-06]","PRIOR-RICHER (live confirms 0% 12 cyc Triple Cash/Shield, $0 AF, 3% cats, self-issued, online; prior's 'up to 18 cyc in-branch' not visible on live pages)",https://www.usbank.com/business-banking/business-credit-cards.html; https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,2026-06-11
5,CITY NATIONAL BANK,Bank,Los Angeles,https://www.cnb.com,81067113,99947369,YES,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,NO,Visa Commercial Card; commercial-only (no small-biz card); rewards points; AF not shown on page,SELF,No third-party/Elan markers on cnb.com card page; CNB-branded commercial program,Contact-form/banker,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,—,—,"Consumer: Yes-probable — DoC 'City National Bank' does pull (2 DPs), NOT sensitive (approved 15+/12mo); CAUTION some DPs may be CNB West Virginia twin; own Personal Disclosures (46pp) name NO vendor, only generic 'consumer reporting agencies, account information services' | BUSINESS: Signer-auth — VERIFIED own BUSINESS Deposit Disclosures (ID 174, 63pp): 'to consider a request to open an account... we may request information from consumer reporting agencies' — identical generic clause, NO Chex/EWS named [2026-06-11 (docs fetched)] (https://www.cnb.com/content/dam/cnb/business-banking/accounts/documents/business-accounts-deposit-account-agreement-174.pdf)",Consumer: No mention own docs; no EWS DPs (lean-no) | BUSINESS: No mention (lean-no) [2026-06-11 (docs fetched)] (https://www.cnb.com/content/dam/cnb/business-banking/accounts/documents/business-accounts-deposit-account-agreement-174.pdf),UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,2026-06-11
6,"Citibank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,https://www.citi.com,72004000,1933622000,YES,https://www.citi.com/credit-cards/compare/business-credit-cards,No,2 biz cards: Citi/AAdvantage Business ($0 intro AF then $99) and Costco Anywhere Visa Business ($0 AF w/ Costco membership); neither advertises 0% intro APR,SELF,Major national issuer; own-domain citi.com card pages and Apply Now buttons,Online,https://www.citi.com/credit-cards/compare/business-credit-cards,Not stated on page,Not stated on page,Yes — but approves with FROZEN Chex (DoC 2025-08-07 31 DPs; freeze-OK DPs 2026-04-14 + 2026-06-04) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Yes — pulls (DoC ×3; DP 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911),UNKNOWN,UNKNOWN,Fresh screen (single pass; not in live re-verify set),https://www.citi.com/credit-cards/compare/business-credit-cards,2026-06-11
7,EAST WEST BANK,Bank,Pasadena,https://www.eastwestbank.com,69086073,82474471,YES,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments,NO (none shown; corporate One Card),One Card corporate card; APR/fees set by Elan; consumer-style terms not published,Elan,Live page: issued by Elan Financial Services pursuant to Visa USA license; Elan may change APRs/fees,Phone/banker,tel:888-761-3967 (no online apply),—,—,"Yes — Crediful: uses Chex to screen checking applicants; own Deposit Agreement (eff. 2024-06-01) 'New Account Verification' = generic 'check or credit reporting agency', vendor UNNAMED [COMMUNITY-DP (Crediful) + Generic-CRA-clause (own doc); 2026-06-12] (https://www.crediful.com/chexsystems/east-west-bank/)",Generic-CRA-clause (vendor unnamed) — own Deposit Agreement names no EWS; 0 'Early Warning' hits in 60-pg doc [VERIFIED-absence; 2026-06-12] (https://www.eastwestbank.com/content/dam/ewb-dotcom/docs/terms-and-conditions/Deposit_Account_Agreement.pdf),Not named in own 60-pg Deposit Agreement [VERIFIED-absence; 2026-06-12] — inquiry-side UNKNOWN (https://www.eastwestbank.com/content/dam/ewb-dotcom/docs/terms-and-conditions/Deposit_Account_Agreement.pdf),UNKNOWN,"LIVE-CONFIRMS (commercial-only One Card, Elan, no online apply)",https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments,2026-06-11
8,First-Citizens Bank & Trust Company,Out-of-state bank with CA branches (SOD),Raleigh,https://www.firstcitizens.com,49197599,235521000,YES,https://www.firstcitizens.com/small-business/credit-financing/credit-cards,"⭐ YES — 0% 12mo (Low-Interest Business Visa); 0% 9mo (Rewards & Cash Rewards Business Visa), purchases + BT","Low-Interest: 0% 12mo then 13.49-22.49% var, $0 AF; Rewards/Cash Rewards: 0% 9mo then 15.49-24.49% var; BT fee 3% ($5 min); new-account only (no FCB card in prior 15mo). Site 403s to bots — terms verified via live Google results/snippets of firstcitizens.com product pages",SELF,First Citizens issues own branded Business Visas on firstcitizens.com product pages (no Elan/FNBO/TCM portal); prior self-issue finding consistent with live results,In-person,https://www.firstcitizens.com/small-business/credit-financing/credit-cards/compare,—,—,Yes — pulls (DoC 2025-08-07; Crediful 2025-10-07) [DOC-LIST + COMMUNITY-DP; 2022-11-20] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),N/M (not on DoC EWS list) [DOC-LIST + COMMUNITY-DP; 2022-11-20] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418),UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.firstcitizens.com/small-business/credit-financing/credit-cards; https://www.firstcitizens.com/small-business/credit-financing/credit-cards/lowest-interest,2026-06-11
9,BMO Bank National Association,Out-of-state bank with CA branches (SOD),Chicago,https://www.bmo.com,35458327,251964731,YES,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,⭐ 0% 18 mo purchases+BT (Business Platinum),$0 AF; 12.74-21.74% var after intro; Business Platinum Rewards variant also offered,SELF,BMO-branded card pages + BMO-hosted Summary of Credit Terms PDF (bmo.com/en-us/pdf/credit/BMOBusinessPlatinumRewards.pdf); BMO Bank N.A. self-issues,Online,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,not visible live (prior DP: TransUnion),not visible live,"Yes — pulls (DoC 2025-08-07, 18+ DPs; Crediful 2025-10-22); historically NOT inquiry-sensitive [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/)",N/M (not on DoC EWS list) [DOC-LIST + COMMUNITY-DP; 2026-05-22] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911),UNKNOWN,UNKNOWN,LIVE-CONFIRMS (0% 18mo $0 AF Platinum; bmo.com 503-blocked direct fetch — confirmed via indexed bmo.com pages/PDF + reviews),https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/ | https://www.hustlermoneyblog.com/bmo-business-platinum-mastercard-review/,2026-06-11
10,SCHOOLSFIRST FEDERAL CREDIT UNION,Credit Union,Santa Ana,https://www.schoolsfirstfcu.org,31586618,36737429,NO,,—,Consumer-only lineup: Inspire / Rewards / School Employee / Share-Secured Mastercard — no business cards or business banking anywhere in nav,—,n/a — no card program [raw: UNKNOWN],n/a,,n/a,n/a,"Yes — VERIFIED own product pages: 'ChexSystems verification and $25 minimum opening deposit required' (Free Checking, Investment Checking; Liquid Advantage MM = Chex + $2,000) [VERIFIED (own site); 2026-06-12] (https://www.schoolsfirstfcu.org/products/checking-savings/checking/free-checking/)",No screening evidence — only Zelle (EWS-owned product) infrastructure on site [searched 2026-06-12; UNKNOWN],UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR (educator CU; consumer cards only),https://www.schoolsfirstfcu.org/products/credit-cards-personal-loans/credit-cards/; google SERP,2026-06-11
