Institution,Rank,Prior_Chex,New_Chex_finding,Chex_business_specific,Prior_EWS,New_EWS_finding,Leniency_note,Source_links,Notes
"Wells Fargo Bank, National Association",2,"No — mostly (DoC 34-no/1-yes; DP 2026-04-14)","No change — prior multi-DP cell stands; no re-search needed [DOC-LIST+COMMUNITY-DP; 2026-05-22]","Business: no biz-specific Chex DP; biz app hits owner's EWS instead (2019 DP)","Yes — pulls + reports (EWS co-owner)","No change — multi-DP cell stands","Chex not the constraint; EWS is (co-owner). Biz app triggers owner EWS check.",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"Prior already multi-sourced; no upgrade needed."
U.S. Bank National Association,4,"Yes — pulls incl. business (biz DP 2025-10-17, not sensitive)","No change — prior multi-DP cell stands","Business: YES — biz checking DP 2025-10-17 (pulled, not sensitive)","Yes — pulls (EWS co-owner; 'US Bank & Elan' inquiries)","No change — multi-DP cell stands","NOT Chex-inquiry-sensitive (DoC sens list); also soft-pulls SageStream+ARS on credit side",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"U.S. Bank National Association. Prior multi-sourced."
"Citibank, National Association",6,"Yes — but approves with FROZEN Chex (31 DPs)","No change — prior multi-DP cell stands","Business: no biz-specific DP","Yes — pulls (DoC x3; DP 2026-05-22)","No change — multi-DP cell stands","Mildly Chex-sensitive (declined 9-10/4mo; approved 23/7mo); freeze-OK DPs 2026-04/06",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"Prior multi-sourced."
BMO Bank National Association,9,"Yes — pulls (18+ DPs; Crediful 2025-10-22)","Crediful maintains a dedicated BMO-Harris Chex page (uses Chex) — consistent with prior [COMMUNITY-DP secondary; seen 2026-06-12]","Business: no biz-specific DP","Reports to EWS (Gadget 2022 list; Dealgamer 2026-05-22 ACH); no inquiry DP","No change — reporter-not-inquirer cell stands","NOT inquiry-sensitive historically (approved 13+)","https://www.crediful.com/chexsystems/bmo-harris/ | https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/","Second source already existed (Crediful)."
CATHAY BANK,14,"Generic-CRA-clause (own 40-pg agreement, vendor unnamed); weak undated forum no-Chex claim","NOTHING NEW — 2026-06-12 search: cathaybank.com pages + 3rd-party Chex explainers, no vendor named anywhere; UNKNOWN-leaning-generic stands","Business: same agreement covers consumer+business (sec.50 CRA clause account-type-agnostic)","Generic-CRA-clause; 0 EWS hits in own agreement","No change — VERIFIED-absence stands","High-value branch-verification target (potential lenient/gold-tier)",https://www.cathaybank.com/documents/personal/digital-account-opening/deposit-account-agreement.pdf,"Searched 2026-06-12; no new DPs."
REDWOOD CREDIT UNION,27,UNKNOWN,"NOTHING NEW — 2026-06-12 search (incl. site:redwoodcu.org + denial-forum search): no vendor named in any public RCU doc; UNKNOWN stands","Business: UNKNOWN (biz Visa requires full-doc income+tax returns, but deposit-screen vendor unpublished)",UNKNOWN,"NOTHING NEW — UNKNOWN stands","No leniency data either way",https://www.redwoodcu.org/help/forms-applications/,"Searched 2026-06-12: membership agreement not web-indexed. Ask at opening."
PATELCO CREDIT UNION,29,"Yes — SENSITIVE (American Banker 2004 vendor adoption; sens DPs denied 9/6, 26/6, 29/12)","CONFIRMS via own doc: Member Handbook (eff. 2025-07-01, 80pp): checking approval 'may include checking your credit and/or account histories with consumer reporting agencies such as credit bureaus' — generic clause, Chex not named in handbook (Chex use known from vendor-adoption press) [VERIFIED own-doc fetched 2026-06-12]","Business: handbook requires beneficial-owner verification for biz accounts; same approval clause applies",UNKNOWN,"NEW: 0 'Early Warning' hits in own 80-pg Member Handbook (eff. 2025-07-01) — lean-no [VERIFIED-absence; 2026-06-12]","Chex-inquiry SENSITIVE — open early in any app sequence",https://www.patelco.org/wp-content/uploads/2023/06/member-handbook.pdf,"EWS cell upgraded UNKNOWN -> lean-no (own-doc absence)."
"PNC Bank, National Association",33,"Yes — mixed DPs (DoC; Crediful 2025-10-22)","No change — prior multi-DP cell stands","Business: no biz-specific DP","Yes — pulls + reports; EWS-SENSITIVE (denial letter citing EWS)","No change — multi-DP cell stands","EWS is the binding constraint at PNC, not Chex (denied 30+/3yr Chex)",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,"Prior multi-sourced."
Umpqua Bank,35,UNKNOWN,"UPGRADE: Crediful per-bank page (crediful.com/chexsystems/umpqua-bank now serves Columbia Bank content post-merger, updated 2025-10-07): 'Columbia Bank uses ChexSystems to review new checking account applications' — Umpqua IS Columbia Banking System [COMMUNITY-DP secondary; 2025-10-07]","Business: not distinguished in source",UNKNOWN,"NOTHING NEW — UNKNOWN stands","No sensitivity data","https://www.crediful.com/chexsystems/umpqua-bank/ | https://www.crediful.com/chexsystems/columbia-bank/","UPGRADE UNKNOWN -> uses Chex (secondary, dated)."
PREFERRED BANK,38,UNKNOWN,"NOTHING NEW — 2026-06-12 search (Chex + EWS + deposit agreement): no public agreement indexed, no DPs; UNKNOWN stands","Business: UNKNOWN (Chinese-American commercial bank, RM channel)",UNKNOWN,"NOTHING NEW — UNKNOWN stands","—",https://www.preferredbank.com/,"Never guess; verify with banker."
