Bank,CERT,SoCal_branch_proximity,Self_UW_status,Chex_consumer(+grade),Chex_BUSINESS(+grade),EWS_consumer,EWS_BUSINESS,Verdict_tier,Banker_question_if_unknown,DP_dates,Source_links
"Farmers & Merchants Bank of Long Beach",1225,"HQ Long Beach; branch 302 Pine Ave (~0.47mi WTC)","Self-issuer (self-UW per v6)","Yes — VERIFIED own T&C (eff. Apr 2024): 'new accounts are subject to verification through ChexSystems®'","Yes — VERIFIED: same T&C explicitly 'apply to both personal account owners... and business account owners'; CREDIT VERIFICATION section is account-type-agnostic; also reports closures to Chex","No mention — 0 'Early Warning' hits in 48-pg T&C (lean-no, not conclusive)","No mention (lean-no, same doc)","⚠ pulls one (Chex, incl. business; EWS lean-no)","Confirm with banker: 'Is the ChexSystems check on a business account a hard decline screen or verification-only?'","2026-06-11 (doc eff. 2024-04)","https://www.fmb.com/-/media/terms-and-conditions/fmb-termsandconditions.pdf"
"Enterprise Bank & Trust",27237,"4 SoCal branches (ex-First Choice Bank network); RM channel","Self-UW (per v6; ~$50K biz LOC app-only lead)","UNKNOWN — no public deposit agreement online; no DoC/forum DPs (searched 2026-06-11; v6 also no-data 2026-06-10)","UNKNOWN — RM-channel onboarding, no online opener found; no DP either way","UNKNOWN — no data","UNKNOWN — no data","❓ UNKNOWN — ask","Ask RM (e.g. jmorrow@): 'For a business checking account, do you run ChexSystems, QualiFile, or Early Warning on the entity or the signers, or is review manual?'","2026-06-11 (searched, no data)","https://www.enterprisebank.com/disclosures (privacy only, no deposit agmt); https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/ (absent)"
"Sunwest Bank",20164,"HQ Sandy UT; SoCal ops Irvine/Tustin legacy (0 br in 6-cty SOD 2025 but Irvine office)","Self-UW (per v6)","UNKNOWN — no DPs; site 'early warning' text = fraud-alert copy, NOT EWS agency (v6 verified)","UNKNOWN — online biz opener exists (EIN + docs) but screening vendor undisclosed; site 403-blocks robots","UNKNOWN","UNKNOWN","❓ UNKNOWN — ask","Ask: 'Your online business application — does it screen the business or run ChexSystems/EWS on signers? Any consumer-report inquiry generated?' NAME-TWIN: SunWest Federal Credit Union (AZ; unchex says uses Chex) is a DIFFERENT institution","2026-06-11 (searched, no data)","https://www.sunwestbank.com/banking/business/business-checking/ (403); v6 ews_chex_mapping row 32"
"Beneficial State Bank",58490,"1 SoCal branch (LA area); CDFI/B-corp","Self-UW (per v6 corrected: self)","Lean-NO — own Personal Deposit Agreement names NO vendor; only generic 'credit report by a credit reporting agency' (VERIFIED-absence, own doc, 11pp)","Lean-NO — own BUSINESS Deposit Agreement likewise names NO Chex/QualiFile/EWS; same generic credit-verification clause only (VERIFIED-absence, own doc, 9pp)","Lean-NO (0 'Early Warning' hits both docs); no community DPs","Lean-NO (same)","🥈 likely-no (absence-based: own docs name no vendor; no DP confirms)","Confirm: 'Does Beneficial State run ChexSystems or Early Warning when opening a business checking account, or is review manual/CDFI-style?'","2026-06-11 (docs fetched)","https://www.beneficialstatebank.com/uploads/files/Personal-Deposit-Account-Agreement-and-Disclosure.pdf; https://www.beneficialstatebank.com/uploads/files/Business-Deposit-Account-Agreement-and-Disclosure.pdf"
"UMB Bank, N.A.",8273,"No SoCal retail branches (KC MO HQ); online opening incl. CA residents","Self-UW; also agent-issuer for other banks' cards","Yes — DOC-LIST: DoC UMB $400 bonus page states 'ChexSystems: Yes' + 'Hard/soft pull: Soft pull' (consumer)","UNKNOWN — bonus page personal-only; no biz DP found; commercial checking is RM/treasury channel","No mention on DoC page; not on DoC EWS list (lean-no, weak)","UNKNOWN","⚠ pulls one (Chex consumer, soft; biz unverified)","Ask: 'Does UMB run ChexSystems on signers for business checking, or only on personal accounts?' NAME-TWIN: do not confuse with United Mississippi Bank (unitedms.bank)","2026-06-11 (DoC page fetched)","https://www.doctorofcredit.com/az-co-il-mo-ne-ok-ks-tx-umb-bank-400-checking-bonus/"
"FNBO (First National Bank of Omaha)",5452,"No SoCal branches; national ONLINE business checking opener","Self-UW (major card self-issuer)","UNKNOWN-sensitive — DoC consumer bonus page field: 'ChexSystems: Unknown, sensitive'; 'Soft pull'","UNKNOWN-sensitive — DoC BUSINESS checking bonus page (in-branch offer) same fields: 'ChexSystems: Unknown, sensitive' + 'Soft pull'; screening vendor unconfirmed","UNKNOWN — not on DoC EWS list","UNKNOWN","❓ UNKNOWN — ask (lean: soft-pull, Chex-sensitive if pulled)","Ask: 'For the online business checking application, does FNBO run ChexSystems or EWS on the owner/signer, and is it inquiry-count sensitive?'","2026-06-11 (DoC pages fetched)","https://www.doctorofcredit.com/il-ne-ks-tx-co-in-branch-fnbo-bank-500-business-checking-bonus/; https://www.doctorofcredit.com/fnbo-500-checking-bonus-co-il-ia-ks-mo-ne-sd-select-counties-in-tx-wi-wy/"
"Banc of California",24045,"In-building branch (per project); 27 SoCal branches; HQ Santa Ana/LA","Self-UW (per v6)","Yes — VERIFIED own DAAD eff. 2026-01-01: 'new accounts are subject to verification through ChexSystems'","Yes (signer) — VERIFIED: same DAAD governs business accounts ('All other accounts shall be considered business accounts') and screening triggers 'by becoming an authorized signer'; closures reported to Chex","No mention — 0 EWS hits in 34-pg DAAD (lean-no)","No mention (lean-no)","⚠ pulls one (Chex incl. biz signers; EWS lean-no) — upgrades v6 weak Unchex cell to VERIFIED","Ask: 'Is the ChexSystems check on business signers decision-driving or verification-only?'","2026-06-11 (doc eff. 2026-01-01)","https://dam.bancofcal.com/m/7ac537b3b4b71842/original/Deposit-Account-Agreement-and-Disclosure-DAAD-1-1-26.pdf"
"American Business Bank",34788,"DTLA HQ (1 branch, 400 S Hope St); corporate-style RM onboarding","Self-UW (per v6)","UNKNOWN — no deposit agreement public; online banking agmt mentions only optional 'review of your credit rating' for bill-pay (own doc, no Chex/EWS named)","UNKNOWN — corporate/RM channel; no online opener; no DP found","UNKNOWN","UNKNOWN","❓ UNKNOWN — ask (lean: corporate channel, likely manual review)","Ask RM: 'When onboarding a business operating account, do you run ChexSystems/EWS/QualiFile on signers, or is underwriting manual?'","2026-06-11 (searched)","https://americanbb.bank/online-banking-agreement/"
"Citizens Business Bank",21716,"HQ Ontario CA; 23 SoCal branches","Self-UW (per v6)","UNKNOWN — every 'Citizens' Chex DP online is a NAME-TWIN (Citizens Bank RI/citizensbank.com, Citizens NM, GA) — none apply to cbbank.com; no own-doc deposit agreement indexed","UNKNOWN — same; biz-first bank, RM channel","UNKNOWN — DoC EWS 'Citizens Bank (RI)' entry is the twin, NOT this bank","UNKNOWN","❓ UNKNOWN — ask","Ask: 'Does Citizens Business Bank (CVB Financial) screen business-account signers through ChexSystems or Early Warning?' FLAG: ignore all 'Citizens Bank' DPs — wrong bank","2026-06-11 (searched, twins only)","https://www.cbbank.com/ (no agmt indexed); name-twins: https://www.crediful.com/chexsystems/citizens-bank/"
"Commercial Bank of California",57417,"HQ Irvine; 2 SoCal branches","Self-UW (per v6)","Lean-NO vendor — own Customer Agreements (36pp, 2026-01 posting): generic 'obtain reports from... credit and consumer reporting agencies' clause scoped '(INDIVIDUAL ACCOUNT)'; ChexSystems/QualiFile never named","Lean-NO — VERIFIED-absence: BUSINESS ACCOUNTS sections require only chartering docs + beneficial ownership; NO consumer-report authorization clause for business accounts at all","No mention — 0 EWS hits (lean-no)","No mention (lean-no)","🥈 likely-no (own-doc: no vendor named; biz sections have no CRA clause)","Confirm: 'For business checking, do you run any ChexSystems/EWS check on signers, or only KYC document verification?'","2026-06-11 (doc fetched; fees eff. 2025-05)","https://cbcal.com/wp-content/uploads/2026/01/Account_Disclosures.Final_.v2.pdf"
"Chino Commercial Bank, N.A.",35366,"HQ Chino; ~4.8mi from Fontana ref point; biz LOC $10-100K product","Self-UW (per v6)","UNKNOWN — own disclosures page lists only Privacy/ToU/Patriot Act/EDIE; no deposit agreement online; no DPs (v6 also none)","UNKNOWN — small commercial bank, branch/RM opening; no vendor named anywhere public","UNKNOWN","UNKNOWN","❓ UNKNOWN — ask","Ask: 'When opening a business checking account, do you screen signers via ChexSystems or Early Warning, or verify identity manually?'","2026-06-11 (searched, no data)","https://www.chinocommercialbank.com/about/general-information/disclosures/"
