filename,type,description,client_name,canva_asset_name,canva_design,source
individual/APW__result__credit-limit-25000__visa-card-and-approval-letter.png,result-screenshot,"Visa card on approval letter showing $25,000 credit limit",not on image (redacted) / not in Canva asset name,IMG_3297.jpg,Results (DAHNjI0PKzE) page 1,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__cashiers-check__amount-redacted.png,result-screenshot,"Cashier's check, amount and payee redacted",not on image (redacted) / not in Canva asset name,IMG_1284.jpg,Results (DAHNjI0PKzE) page 2,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__credit-limit-36000__cash-advance-10800.png,result-screenshot,"Card summary: credit limit $36,000, cash advance available $10,800",not on image (redacted) / not in Canva asset name,tmpem5w759l.webp,Results (DAHNjI0PKzE) page 3,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__credit-limit-15000__credit-card-loan-open.png,result-screenshot,"Account: credit limit $15,000, credit card loan, status open",not on image (redacted) / not in Canva asset name,tmpj884fbxk.jpg,Results (DAHNjI0PKzE) page 4,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__credit-limit-35000__last-payment-aug-2025.png,result-screenshot,"Current credit limit $35,000, last payment Aug 24 2025",not on image (redacted) / not in Canva asset name,tmpvdt4o9ho.jpg,Results (DAHNjI0PKzE) page 5,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__available-credit-9904__limit-10000.png,result-screenshot,"Available credit $9,904.83 of $10,000 limit",not on image (redacted) / not in Canva asset name,15.jpg,Results (DAHNjI0PKzE) page 6,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__credit-limit-20000__cash-limit-6000.png,result-screenshot,"Credit limit $20,000, cash limit $6,000, 18% APR",not on image (redacted) / not in Canva asset name,13.jpg,Results (DAHNjI0PKzE) page 7,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__approved-50000__you-are-approved-screen.png,result-screenshot,"'You're approved for $50,000.00' confirmation screen",not on image (redacted) / not in Canva asset name,2.jpg,Results (DAHNjI0PKzE) page 8,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__available-credit-10500__of-10500.png,result-screenshot,"Available credit $10,500 of $10,500",not on image (redacted) / not in Canva asset name,4.jpg,Results (DAHNjI0PKzE) page 9,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__credit-limit-35000__card-carrier-issued.png,result-screenshot,"Card carrier: 'CREDIT LIMIT ISSUED BY: $35,000'",not on image (redacted) / not in Canva asset name,3.jpg,Results (DAHNjI0PKzE) page 10,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-50k__0pct-12-months__client-wins-poster.png,result-poster,Poster: Approved for 50K at 0% interest for 12 months,not on image (redacted) / not in Canva asset name,5q.webp,Results (DAHNjI0PKzE) page 11,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-112k__chase-ink-business-cash__client-wins-poster.png,result-poster,"Poster: Approved for $112K, Chase Ink Business Cash welcome",not on image (redacted) / not in Canva asset name,8q.webp,Results (DAHNjI0PKzE) page 12,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-117k__client-wins-poster.png,result-poster,Poster: Approved for $117K,not on image (redacted) / not in Canva asset name,7q.webp,Results (DAHNjI0PKzE) page 13,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-64k__us-bank-highland-bank__client-wins-poster.png,result-poster,"Poster: Approved for $64K, US Bank + Highland Bank",not on image (redacted) / not in Canva asset name,6q.webp,Results (DAHNjI0PKzE) page 14,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-143k__client-wins-poster.png,result-poster,Poster: Approved for $143K,not on image (redacted) / not in Canva asset name,4q.webp,Results (DAHNjI0PKzE) page 15,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-57k__us-bank-amex-2000-boa-9000__client-wins-poster.png,result-poster,"Poster: Approved for $57K; 'received 2 cards, an AMEX $2000 limit and a BOA $9000 limit'",not on image (redacted) / not in Canva asset name,3q.webp,Results (DAHNjI0PKzE) page 16,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-73k__45000-0pct-business-credit-3-days__client-wins-poster.png,result-poster,"Poster: Approved for $73K; '$45,000 in 0% business credit on one bank in 3 days'",not on image (redacted) / not in Canva asset name,2q.webp,Results (DAHNjI0PKzE) page 17,https://www.canva.com/d/laF86hk7f96zfWl
posters/APW__result__approved-80k__0pct-18-months__client-wins-poster.png,result-poster,Poster: Approved for $80K at 0% interest for 18 months,not on image (redacted) / not in Canva asset name,1q.webp,Results (DAHNjI0PKzE) page 19,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__credit-limit-28000__available-27681__cash-8400.png,result-screenshot,"Credit limit $28,000, available credit $27,681.35, cash limit $8,400",not on image (redacted) / not in Canva asset name,6.webp,Results (DAHNjI0PKzE) page 20,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__credit-limit-35000__available-33036__statement.png,result-screenshot,"Statement: credit limit $35,000, available credit $33,036.66, available cash $26,250",not on image (redacted) / not in Canva asset name,17.webp,Results (DAHNjI0PKzE) page 21,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__wire-50005__bank-of-america__2025-06-16.png,result-screenshot,"Wire confirmation $50,005.00, Bank of America, Jun 16 2025",not on image (redacted) / not in Canva asset name,7.jpg,Results (DAHNjI0PKzE) page 22,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__loan-approved-50000__7-99pct-72-months.png,result-screenshot,"'Your loan is approved': $50,000, 7.99% APR, 72 months, $879.73/mo",not on image (redacted) / not in Canva asset name,IMG_3185.png,Results (DAHNjI0PKzE) page 23,https://www.canva.com/d/laF86hk7f96zfWl
individual/APW__result__pnc-cash-rewards-visa__available-credit-18000.png,result-screenshot,"PNC Cash Rewards Visa Signature, available credit $18,000",not on image (redacted) / not in Canva asset name,Screenshot,Results (DAHNjI0PKzE) page 24,https://www.canva.com/d/laF86hk7f96zfWl
