Institution,Rank,Old_grade,Old_bureau,New_bureau_finding,Business_or_consumer_evidence,Hard_or_soft,New_grade,Upgrade(YES-upgraded/NO-confirmed-same/NO-still-unknown),DP_dates,Source_links,Twin_check,Notes
"Zions Bancorporation, N.A.",20,CONSUMER-PROXY,Mixed TU/EQ/EX by geography (consumer DPs); no biz,"No new business-specific DP found; myFICO threads (ZIONS BANK U aware; Anyone with experience Zion Bancorp) show consumer-card pulls vary TU/EQ/EX by region. Biz cards self-underwritten.",Consumer credit-card DPs only,Hard,CONSUMER-PROXY,NO-confirmed-same,2013-01-29 (EX consumer DP); region-varies thread,https://ficoforums.myfico.com/t5/Credit-Cards/Anyone-with-experience-Zion-Bancorp/td-p/1835533 | https://ficoforums.myfico.com/t5/Credit-Cards/ZIONS-BANK-U-aware/td-p/3690006,OK - Zions Bancorporation HQ Salt Lake City UT (operates as Zions Bank in UT/ID/WY); national multi-brand bank,"Consumer DPs only; bureau varies by geography. No business-card-specific bureau DP surfaced. STALE consumer DP (2013) >3yr."
"KINECTA FEDERAL CREDIT UNION",41,CONSUMER-PROXY,EX (single consumer DP),"No business-card-specific DP; myFICO 'I'm Embarrassed 2nd Personal Kinecta FCU CC Same HP' is a CONSUMER card DP. Kinecta does hard-pull on app; offers soft prequal via 'The Button'.",Consumer credit-card DPs only,Hard,CONSUMER-PROXY,NO-confirmed-same,myFICO consumer approval thread (#6520919) recent,https://ficoforums.myfico.com/t5/Credit-Card-Approvals/I-m-Embarra-ed-2nd-Personal-Kinecta-FCU-CC-Same-HP/td-p/6520919 | https://wallethub.com/credit-cards/kinecta-federal-credit-union-13307821i,OK - Kinecta FCU HQ Manhattan Beach CA,"Consumer-only DPs; business card bureau not separately documented. Keep CONSUMER-PROXY."
"ALTURA FEDERAL CREDIT UNION",85,CONSUMER-PROXY,Experian per myFICO DPs ('Altura pulls EXP'); $20K,"No business-card-specific DP. Altura credit-reporting-agencies page does NOT name a specific bureau they pull. Prior EX DP is consumer.",Consumer credit-card DP (EX); no biz,Hard,CONSUMER-PROXY,NO-confirmed-same,prior 'Altura pulls EXP' consumer DP (undated/older),https://www.alturacu.com/credit-reporting-agencies/ | https://wallethub.com/credit-cards/altura-federal-credit-union-13307821i,OK - Altura CU HQ Riverside CA (note name is 'Altura Credit Union' not 'Federal'),"Official page does not name a bureau. Consumer EX DP stands; no business-specific evidence. Keep CONSUMER-PROXY."
"Western Alliance Bank",17,UNKNOWN,UNKNOWN — no bureau DPs surfaced,"Business Plus Visa card issued DIRECTLY by Western Alliance Bank ('issued by Western Alliance Bank pursuant to a license from Visa'). Self-underwritten; 'all offers of credit subject to credit approval'. No bureau named on app page; no forum DPs.",Business card confirmed (self-issued) but no bureau DP,Unknown,UNKNOWN,NO-still-unknown,no DPs,https://www.westernalliancebancorporation.com/small-business/business-credit-cards | https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,OK - Western Alliance Bank HQ Phoenix AZ (commercial bank; CA operations via divisions),"Confirmed self-issued business Visa; bureau still unknown. No rail to infer from."
"FIVE STAR BANK",53,UNKNOWN,UNKNOWN (Roseville CA bank),"UPGRADE evidence: CA Five Star Bank (Nasdaq FSBC, Roseville) offers business+commercial cards on the CorServ platform but is the ACTUAL ISSUER and credit decision-maker ('Five Star Bank is able to make the credit decisions'). NOT Elan. So self-underwritten. Bureau not disclosed.",Business+commercial cards confirmed; self-underwritten on CorServ rail,Unknown,UNKNOWN,NO-still-unknown,"CorServ partnership press release (CorServ site; undated ~2021+)",https://www.corservsolutions.com/five-star-bank-partnering-with-corserv-to-offer-credit-cards/ | https://www.fivestarbank.com/,"TWIN FLAG: five-starbank.com (Elan cards) is a DIFFERENT Five Star Bank (Warsaw NY / Cedar Falls IA). Target is fivestarbank.com / FSBC Roseville CA which uses CorServ self-issuance.","Resolved issuer model (self via CorServ, not Elan) but bureau still unknown. Do NOT apply Elan rail inference - that was the NY/IA twin."
"Banner Bank",79,VERIFIED-DISCLOSURE,UNKNOWN bureau; personal pull confirmed structural,"CONFIRMED self-issued: Banner Bank Business Mastercard Credit Card Agreement states card is 'issued by Banner Bank'. NOT Elan (Banner Bank distinct from Banner FCU which uses Elan). Agreement authorizes reporting to credit bureaus on Company AND Primary Cardholder, but does NOT name which bureau is pulled.",Business card agreement (self-issued); credit-bureau authorization language present,Hard (structural),VERIFIED-DISCLOSURE,NO-confirmed-same,"Banner Bank agreement (current; undated)",https://www.bannerbank.com/financial-resources/terms-and-tips/business-mastercard-credit-card-agreement | https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-cash-rewards-mastercard,"TWIN FLAG resolved: Banner BANK (HQ Walla Walla WA) self-issues; Banner Federal CREDIT UNION (Birmingham AL) uses Elan - different entity. Target = Banner Bank.","Self-issued confirmed; personal-guarantor bureau reporting authorized but specific pulled bureau not disclosed. Bureau remains unknown."
"COAST CENTRAL CREDIT UNION",95,UNKNOWN,UNKNOWN (paper-app channel),"UPGRADE evidence: Official Coast Central Business VISA Card Application (REV 10/04) is a self-underwritten paper app ('FOR CREDIT UNION USE ONLY', 'Approving Loan Officer'). Collects each owner/officer SSN + DOB and requires Personal Financial Statement -> personal credit pull on guarantors structurally implied. NO bureau named.",Business Visa app confirmed self-underwritten; SSN/DOB/PFS collected = personal pull structural,Hard (structural inference),VERIFIED-DISCLOSURE,YES-upgraded,Application form REV 10/04 (2004 - STALE >3yr),https://www.coastccu.org/wp-content/uploads/2017/05/BusinessVisa.pdf | https://www.coastccu.org/,OK - Coast Central CU HQ Eureka CA (Humboldt/Del Norte/Trinity),"Upgraded UNKNOWN->VERIFIED-DISCLOSURE: personal-guarantor pull structurally confirmed via app collecting SSN+DOB+PFS. Bureau still unknown. Form is 2004 (stale) but is current published app."
"MONTERRA CREDIT UNION",110,UNKNOWN,UNKNOWN for cards,"Business Rewards Visa confirmed offered (monterra.org/business/credit-cards/business-rewards-visa-credit-card). Page 403'd; no issuer/bureau disclosed publicly. No forum DPs. Small CU, likely third-party-processed Visa.",Business Visa confirmed offered; no bureau evidence,Unknown,UNKNOWN,NO-still-unknown,no DPs,https://www.monterra.org/business/credit-cards/business-rewards-visa-credit-card,OK - Monterra CU HQ Redwood City CA,"Business card exists but no bureau DP or issuer disclosure surfaced. Still unknown."
"SESLOC CREDIT UNION",134,UNKNOWN,UNKNOWN (no DPs),"No business-card-specific bureau evidence. SESLOC offers Visa cards (sesloc.org); business banking present. No issuer or bureau disclosed; zero forum DPs.",No bureau evidence; business banking present,Unknown,UNKNOWN,NO-still-unknown,no DPs,https://www.sesloc.org/personal/credit-cards/ | https://www.sesloc.org/,OK - SESLOC CU HQ San Luis Obispo CA,"No DPs anywhere; bureau unknown. Distinct from SLO Credit Union (separate SLO CU)."
"SACRAMENTO CREDIT UNION",172,UNKNOWN,UNKNOWN — no pull DPs indexed,"No business-card-specific bureau evidence. Site 503'd on fetch. No forum DPs in CreditBoards/myFICO/CreditPulls. Bureau unknown.",No evidence found,Unknown,UNKNOWN,NO-still-unknown,no DPs,https://www.sacramentocu.org/,OK - Sacramento CU HQ Sacramento CA,"Zero forum footprint; bureau unknown."
