Institution,Charter,Join_path_from_Fontana_LB,Chex_membership,Chex_BUSINESS,EWS_membership,EWS_BUSINESS,Two_step_path,Verdict_tier,Banker_question_if_unknown,DP_dates,Source_links
Firefighters First CU,Federal CU (occupational FOM),NOT JOINABLE from Fontana/LB — FOM = firefighters + immediate family (spouse/children/parents/siblings/grandparents) only; no 'friends of' open path; an existing member can sponsor but only immediate-family,UNKNOWN — no Chex/EWS data (occupational closed SEG),UNKNOWN,UNKNOWN,UNKNOWN,Unknown (membership gate blocks access regardless),❓ UNKNOWN — but eligibility-gated; deprioritize,N/A unless you have a firefighter immediate-family tie — then ask: 'Do you pull ChexSystems/EWS for a business account on an existing member in good standing?',2026-06-10 (no data); 2026-06-11 eligibility verified,https://www.firefightersfirstcu.org/Resources/Become-A-Member/Membership-Eligibility
Stanford FCU,Federal CU (13392),"JOINABLE remotely — FOPAL or MOAH membership qualifies any US person; SFCU pays nonprofit dues; online join sfcu.org/join-us, $5 share; identity verify via Virtual Branch (Zoom)",UNKNOWN — membership = hard EXPERIAN pull (consumer-proxy DPs myFICO 6726623/6723581/6036159); Chex-specific use unconfirmed; DoC checking-bonus DPs hint screening but type unconfirmed,UNKNOWN — biz Visa is self-issued (own disclosure); biz card app = Business Loan Application + PFS (hard pull); Chex on biz checking unconfirmed,UNKNOWN,UNKNOWN,"Yes (structural) — biz Visa requires 6-mo SFCU biz-checking seasoning + 2yr TIB; a seasoned member applies later, but biz-checking open itself may screen",❓ UNKNOWN — self-UW biz Visa $50K confirmed; deposit-screen type open,"Ask Virtual Branch: 'When I open business checking, do you run ChexSystems or EWS? And for the Business Rewards Visa after 6 months, is it a personal-credit pull only or also a deposit-screen?'",2026-06-11 (product VERIFIED LIVE); EX-pull DPs 2024-era,https://www.sfcu.org/business/business-credit-card; https://www.sfcu.org/business/business-loans; https://web.archive.org/web/20260411170438/https://www.sfcu.org/business-banking/credit-cards/; https://www.sfcu.org/join-us/
Valley Strong CU,State CU (DFPI),JOINABLE remotely — Financial Fitness Association (FFA) join path qualifies anyone; VS opens FFA membership + covers year-1 fee ($8/yr after); county FOM does NOT cover SB/LA; online $5 share,"SOFT pull at membership/checking (DoC checking-bonus page,  CA select counties)",UNKNOWN — biz cards self-issued (CFPB agreement DB lists Valley Strong as own issuer); biz Share Savings $5 open; deposit-screen type unconfirmed (site 403s),UNKNOWN,UNKNOWN,Unknown — membership soft-pull is gentle; whether biz Share Savings re-screens is unconfirmed,🥈 LIKELY-NO (membership) / ❓ biz-acct unknown,"Phone screen: 'Is opening a Business Share Savings a soft pull like membership, or a hard ChexSystems pull? Do biz credit cards have published limits?'",2026-06-10 (soft-pull DoC); 2026-06-11,https://www.doctorofcredit.com/?s=valley+strong; https://www.valleystrong.com/business-platinum-credit-card; https://www.consumerfinance.gov/credit-cards/agreements/issuer/valley-strong-credit-union/
Rize Credit Union,Federal/State CU (CA — name-twin: NOT Arize FCU TX/CO),JOINABLE remotely — American Consumer Council (ACC) or Quality Service Council (QSC) join at no cost; $5 share + ID + SSN/ITIN; open online rizecu.com/open-an-account,LIKELY-NO — own open-account page lists ONLY ID+SSN+$5+address (no ChexSystems/QualiFile language); CU offers 'New Beginnings'/Fresh Start second-chance + ChexSystems-rebuild products = forgiving posture,UNKNOWN — Business Visa Platinum self-issued $5K-$50K variable limit; apply via 'Contact business banking team'; no Chex language on biz page; deposit-screen unconfirmed,UNKNOWN,UNKNOWN,Unknown — second-chance ethos suggests low barrier; biz-account screening unstated,"🥈 LIKELY-NO — second-chance CU,  no Chex language on own pages; NEW TARGET worth a call","Call business banking 800-866-6474: 'Do you run ChexSystems or EWS to open a business checking account and the Business Visa? Given your second-chance program, is a clean-file member auto-approved for the biz account?'",2026-06-11 (own pages),https://rizecu.com/open-an-account/; https://rizecu.com/business-visa/; https://rizecu.com/pathways/new-beginnings/
Southland CU,State CU,JOINABLE — Long Beach branch (Viking Way); online membership; member within a few days,YES — pulls ChexSystems (own site: 'All new accounts are verified through ChexSystems'),YES — same ChexSystems language explicitly covers business accounts ('All new accounts...both personal and business'); business account application screened,UNKNOWN,UNKNOWN,NO — own site says ALL new accounts (incl. business) verified via ChexSystems; no member-in-good-standing bypass found,❌ BOTH-PULL (Chex confirmed personal+business); no two-step bypass,Confirm only: 'Does a business account opened by an existing member in good standing skip the ChexSystems re-screen?' (own site implies NO),2026-06-11 (own site),https://www.southlandcu.org/join/open-new-account/; https://www.southlandcu.org/business-banking/checking-(1)/; https://www.southlandcu.org/southlandcu/media/PDF-Form/account_application_business.pdf
Logix Federal Credit Union,Federal CU (Burbank — SoCal branches),JOINABLE — ACC or Moorpark College Friends of the Foundation join path; SoCal-local branches; biz checking needs business within 30 miles of a branch + Logix-approved industry + (non-members) 1yr+ in business,Yes — pulls Chex but LENIENT (second-chance reviews; may approve with single negative; secondary source undated),UNKNOWN — biz checking eligibility = location/industry gated; deposit-screen type not published,UNKNOWN,UNKNOWN,Unknown — membership pull is lenient; biz checking adds eligibility gates not a bypass,"⚠ PULLS-ONE (Chex,  lenient) — biz unconfirmed","Call 800-328-5328: 'For business checking, do you run ChexSystems and EWS? Is it the same lenient second-chance review as personal? Does an existing member skip the deposit screen?'",2026-06-10/11 (secondary undated),https://www.logixbanking.com/business/accounts/eligibility; https://www.thecreditpeople.com/bureaus/which-credit-unions-really-do-not-use-chexsystems
CommunityAmerica CU (ex-UNIFY),Federal/State CU (KC/St. Louis),JOINABLE remotely — 'Friends of Hobbs' (Hobbs State Park nonprofit) join path qualifies anyone; select-zip auto-qualify; apply online apply.communityamerica.com,"Yes (legacy UNIFY: 5 DPs,  NOT sensitive,  approved 50+/12mo); post-merger behavior unconfirmed",UNKNOWN — biz checking offered; deposit-screen unpublished,No — EWS-CLEAN ('Community America' on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list),UNKNOWN,Unknown — Chex at membership; whether seasoned member skips biz re-screen unconfirmed,"⚠ PULLS-ONE (Chex legacy,  not sensitive) / EWS-clean","Call 800-892-7957: 'Post-merger, do you still pull ChexSystems for membership and for a business checking account? Any EWS? Does an existing member opening a business account get re-screened?'",2026-05-22 (EWS-clean DP); 2026-06-11,https://www.communityamerica.com/business/bank/accounts/business-checking; https://www.communityamerica.com/why-communityamerica/become-a-member; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911
AdelFi (Christian Community CU),Federal CU,"JOINABLE remotely — membership open to Christians from most denominations + Christian-owned businesses/nonprofits, apply online from anywhere in US","Yes — pulls Chex (DoC 'does pull' list; 5 DPs; inquiry-sensitive,  denied at 26+ inquiries)",UNKNOWN — business checking + nonprofit checking offered; biz/nonprofit deposit-screen unpublished,No (2018 DP — Ampersand opened CCCU with no EWS inquiry),UNKNOWN,Unknown — Chex at consumer open; business membership is a separate application track (Christian-owned business) — possible separate screen,"⚠ PULLS-ONE (Chex,  sensitive) / EWS-clean 2018","Call 800-921-1130 ext 1650: 'For a business/nonprofit checking account, do you pull ChexSystems and EWS? Is the business entity screened separately from the owner? Any EWS inquiry?'",2018-08-15 (EWS-clean DP); 2026-06-11,https://www.adelfibanking.com/business/checking-savings/checking; https://www.adelfibanking.com/help-support/business-banking-faqs; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/
Skyla Credit Union,"Federal CU (NC-based — name care: Skyla = ex-Charlotte Metro,  NOT Parsons)","JOINABLE? NC-based, FOM-limited — verify remote SoCal eligibility before pursuing",YES — pulls ChexSystems (CONFIRMED: own learning-guidance page + FAQ: 'a hard inquiry is conducted... ChexSystems is used as a credit check for account applications'); document-heavy UW; 2025 BBB complaints re hard pulls,UNKNOWN — all apps are hard pulls; biz deposit-screen presumably same Chex,No — EWS-CLEAN (Dealgamer 2026-05-22 'doesn't report and no inquiry'),UNKNOWN,No — all account apps are hard Chex pulls per own docs; no bypass,⚠ PULLS-ONE (Chex CONFIRMED) / EWS-clean — Chex question now CLOSED,"N/A for Chex (confirmed). If pursued: 'Is the business account a Chex pull too, and any EWS?'",2026-05-22 (EWS-clean); 2026-06-11 (Chex confirmed own docs),https://www.skylacu.com/learning-guidance/understanding-checking-accounts; https://www.skylacu.com/about-skyla/faqs/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911
BCU (Baxter Credit Union),Federal/State CU (IL-based),JOINABLE remotely — TU-default membership; ACC or other association join paths typical; verify path,UNKNOWN — TRANSUNION default for credit (EX on request if TU frozen); ChexSystems use unconfirmed; 2019 CreditBoards DP suggests Chex IS checked but accounts opened even with frozen Chex (forgiving),UNKNOWN — own biz-account opening page exists; deposit-screen unpublished,No — EWS-CLEAN (Dealgamer 2026-05-22 'doesn't report and no inquiry'),UNKNOWN,Unknown — membership is hard TU pull; whether biz account re-screens Chex unconfirmed,❓ UNKNOWN (Chex) / EWS-clean — GOLD-CANDIDATE pending Chex close,Call BCU: 'Do you pull ChexSystems to open a business checking account? Membership credit pull is TransUnion — is the deposit-account screen Chex or EWS? Any bypass for existing members?',2026-05-22 (EWS-clean); 2019 CreditBoards (Chex hint),https://bcu.org/Banking/Business-Banking-Accounts/Opening-a-Business-Account; https://creditboards.com/forums/index.php?/topic/618885-bcu-credit-union/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911
