Institution,Type,HQ,CERT/Charter,CA_Access,Product,Claimed_limit,Doc_requirements,Channel,Evidence_grade,DP_date,Links,v5_status,Note
U.S. Bank NA,Bank,"Minneapolis, MN",FDIC CERT 6548,SoCal branches + online-national,Cash Flow Manager unsecured business LOC,"up to $250K (sweet spot: <$50K tier)","VERIFIED on usbank.com: lines under $50K 'financial statements are not normally required'; over $50K needs last FY tax return; PG required",Online app or branch banker,VERIFIED on bank site,2026-06-10,https://www.usbank.com/business-banking/business-lending/business-lines-of-credit/cash-flow-manager.html ; https://www.usbank.com/customer-service/knowledge-base/KB0209629.html,ALREADY_IN_V5,GOLD INTEL: exact Enterprise-B&T-class program hiding inside a v5 institution. $150/yr fee on lines <=$50K; $0 fee >$50K.
American Express (Amex National Bank),Bank/fintech hybrid,"New York, NY / Sandy, UT",FDIC CERT 27471,Online-national,Amex Business Line of Credit (Business Blueprint; ex-Kabbage),"$2K-$250K (>$150K needs existing Amex relationship)","Bank-account link only; no tax returns/financial statements for most line sizes; 660+ FICO, 1 yr TIB, ~$3K/mo revenue; PG",Online app (americanexpress.com Business Blueprint),VERIFIED on issuer site,2026-06-10,https://www.americanexpress.com/en-us/business/blueprint/business-line-of-credit/ ; https://www.americanexpress.com/en-us/business/blueprint/help-center/business-line-of-credit/applying/faq.whats-required-to-apply-for-american-express-business-line-of-credit.html,ALREADY_IN_V5 (issuer) / product likely missed,True no-doc underwriting via real-time bank link. Monthly-fee pricing not APR.
Ramp,Fintech charge card (cards via Celtic Bank / Sutton Bank),"New York, NY",partner-bank issued (Celtic Bank UT),Online-national,Ramp corporate charge card,"dynamic ~10-20% of linked bank balance; $50K+ limits routine with ~$250K+ balance","EIN-only; NO personal guarantee; no personal credit pull; needs registered entity (LLC/corp; no sole props) + ~$25K+ in US business bank account; bank link is the underwriting",Online app / sales,VERIFIED vendor + COMMUNITY-DP (startup community comparisons),2026 (comparison guides),https://www.glencoyne.com/guides/corporate-cards-us-startups ; https://corporatecreditcardforstartups.com/ramp-vs-brex-vs-divvy-vs-amex/,NEW_LEAD,Charge card (pay monthly/daily) not revolving. Limit scales with cash so 'high limit' requires real balance - legitimately lenient not magic.
BILL Spend & Expense (Divvy),Fintech credit line (issued via Cross River Bank / WEX Bank),"Draper, UT (BILL HQ San Jose CA)",partner-bank issued,Online-national,Divvy business credit line + cards,"$500-$5M; $20K-$50K DPs common for real operating businesses","No hard cash minimum; holistic underwriting on business cash flow via bank link; no PG for many approvals; no tax returns at app",Online app,VERIFIED vendor + COMMUNITY-DP,2026 (comparison guides),https://ramp.com/blog/divvy-business-credit-card-requirements ; https://www.glencoyne.com/guides/corporate-cards-us-startups,NEW_LEAD,Most accessible of the no-PG trio for bootstrapped businesses; weekly/semi-monthly/monthly pay cycles.
First National Bank of Omaha (FNBO),Bank,"Omaha, NE",FDIC CERT 5452,Online-national (no CA branches),Business Edition Visa (+ Evergreen Business),"$50K stated max; myFICO instant-approval DPs $7.1K / $10K / $11.3K / $13.9K / $14K","Standard online app, no financials at application for normal limits; accurate prequal tool; soft-pull CLIs reported; PG",Online app (card.fnbo.com),COMMUNITY-DP (myFICO Business Credit forum) + VERIFIED product pages,2022-2025 threads (e.g. myFICO 6403479; 6332103),https://ficoforums.myfico.com/t5/Business-Credit/Evergreen-FNBO-Business-Edition-Approval-w-Data-Points/td-p/6403479 ; https://www.card.fnbo.com/mpp/fi/offer/business/pb-visa,NEW_LEAD,Classic directory miss: NE-HQ no CA branches but fully online. Doesn't report to personal bureaus per myFICO users.
Bluevine (LOC via Celtic Bank),Fintech LOC,"Jersey City, NJ / Redwood City, CA",Celtic Bank (UT state charter) is lender,Online-national,Business line of credit,up to $250K,"Bank-account link OR last 3 months bank statements; no tax returns for standard lines; 625+ FICO, 12+ mo TIB, $10K/mo revenue; PG",Online app,VERIFIED on vendor site + 2026 reviews,2026-06-10,https://www.bluevine.com/business-loans/line-of-credit ; https://www.nerdwallet.com/business/loans/reviews/bluevine-small-business-loans,NEW_LEAD,Pricier than bank LOCs (simple-interest draws) but genuine low-doc $50K+ approvals for revenue businesses.
Sam's Club Business Mastercard (Synchrony Bank),Bank (retail co-brand),"Draper, UT (Synchrony)",FDIC CERT 27314,SoCal clubs + online-national,Sam's Club Business Mastercard,"DPs: $8K instant (NO PG, 'account type 2'), $10K instant; $8K->$30K via CLIs","EIN-based path with no PG reported for established businesses; otherwise standard app, no financials; Sam's Club membership required",In-club or online app,COMMUNITY-DP (myFICO Business Credit),"myFICO threads 6701656, 6716041 (2024-2025); CLI DP via Credit Karma",https://ficoforums.myfico.com/t5/Business-Credit/NO-PG-Sams-Club-Business-Mastercard-Instant-Approved-8k-SL/td-p/6701656 ; https://www.creditkarma.com/credit-cards/insights/sams-club-mastercard,NEW_LEAD,No-PG path generally requires real business revenue/credit file (D&B). CLIs reported generous.
Stanford Federal Credit Union,Credit union,"Palo Alto, CA",NCUA federal charter (lookup: Stanford FCU),Joinable from anywhere in CA/US (FOPAL or MOAH membership); no SoCal branches,Business Visa credit card,up to $50,000,"Business Loan Application + Personal Financial Statement (low-doc; no tax returns listed on product page); PG implied",Online membership + business banking application,VERIFIED on CU site (limit); access caveat unverified for remote SoCal businesses,2026-06-10,https://www.sfcu.org/business/business-credit-card ; https://www.sfcu.org/faqs/can-anyone-join-the-credit-union/,NEW_LEAD,LAFCU-class lead: $50K-max CU business card; NorCal CU missed by SoCal-filtered directories. CALL to confirm they'll onboard a Fontana/Long Beach business remotely.
Brex,Fintech charge card (via Emigrant Bank/Fifth Third),"Salt Lake City, UT / SF CA",partner-bank issued,Online-national,Brex corporate charge card,"dynamic; targets $50K+ bank balance / funded startups; limits commonly 10-20% of cash","EIN-only; NO PG; no personal credit pull; needs ~$50K+ cash or institutional funding",Online app,VERIFIED vendor + COMMUNITY-DP,2026 (comparison guides),https://ramp.com/blog/brex-business-credit-card-requirements ; https://www.glencoyne.com/guides/corporate-cards-us-startups,NEW_LEAD,Least accessible of no-PG trio for non-VC businesses; include only if client holds $50K+ liquid in business account.
Zions Bancorporation / California Bank & Trust,Bank,"Salt Lake City, UT (CB&T div: San Diego, CA)",FDIC CERT 2270 (Zions Bancorporation NA),SoCal branches (CB&T; incl. ex-FirstBank Palm Desert/Indio branches acquired 2025),AmaZing Business Credit Card (+ business LOC),"unpublished; CA-eligible signup bonus card","Standard branch/online app; card does NOT report to personal credit (DoC); branch RM path for LOCs",Branch banker / online,COMMUNITY-DP (Doctor of Credit post) + VERIFIED bank pages,DoC post (CA-eligible offer); CB&T-FirstBank deal Q1 2025,https://www.doctorofcredit.com/ca-tx-nv-amazing-business-credit-card-500-1000-sign-bonus/ ; https://www.calbanktrust.com/personal/about-us/news/press-releases/california-bank---trust-to-acquire-firstbank-coachella-valley--c/,ALREADY_IN_V5,New intel: AmaZing biz card CA-eligible + no personal reporting; CB&T absorbed FirstBank CO's Riverside County book (relationship clients).
